gamma;w;alpha_c
4.1;0.701;-1.86
4.0;1.866;-2.11
3.9;2.544;-2.365
3.8;3.077;-2.626
3.7;3.531;-2.893
3.6;3.933;-3.167
3.5;4.298;-3.446
3.4;4.635;-3.732
3.3;4.949;-4.025
3.2;5.245;-4.323
3.1;5.525;-4.629
3.0;5.791;-4.941
2.9;6.047;-5.259
2.8;6.292;-5.585
2.7;6.528;-5.917
2.6;6.756;-6.256
2.5;6.977;-6.603
2.4;7.191;-6.956
2.3;7.399;-7.317
2.2;7.601;-7.685
2.1;7.799;-8.06
2.0;7.992;-8.443
1.9;8.18;-8.833
1.8;8.365;-9.231
1.7;8.545;-9.637
1.6;8.722;-10.05
1.5;8.895;-10.472
1.4;9.066;-10.902
1.3;9.233;-11.339
1.2;9.398;-11.785
1.1;9.559;-12.239
1.0;9.718;-12.702
0.9;9.875;-13.173
0.8;10.03;-13.653
0.7;10.182;-14.141
0.6;10.332;-14.638
0.5;10.48;-15.145
0.4;10.626;-15.66
0.3;10.77;-16.184
0.2;10.912;-16.717
0.1;11.053;-17.26
0.0;11.192;-17.812
-0.1;11.329;-18.374
-0.2;11.465;-18.945
-0.3;11.599;-19.526
-0.4;11.732;-20.117
-0.5;11.864;-20.718
-0.6;11.994;-21.329
-0.7;12.122;-21.95
-0.8;12.25;-22.582
-0.9;12.376;-23.223
-1.0;12.501;-23.876
-1.1;12.625;-24.539
-1.2;12.748;-25.212
-1.3;12.87;-25.897
-1.4;12.99;-26.592
-1.5;13.11;-27.299
-1.6;13.228;-28.016
-1.7;13.346;-28.746
-1.8;13.463;-29.486
-1.9;13.578;-30.238
-2.0;13.693;-31.002
-2.1;13.807;-31.778
-2.2;13.92;-32.565
-2.3;14.032;-33.365
-2.4;14.144;-34.177
-2.5;14.254;-35.001
-2.6;14.364;-35.837
-2.7;14.473;-36.687
-2.8;14.581;-37.549
-2.9;14.689;-38.423
-3.0;14.796;-39.311
-3.1;14.902;-40.212
-3.2;15.007;-41.126
-3.3;15.112;-42.053
-3.4;15.216;-42.994
-3.5;15.319;-43.949
-3.6;15.422;-44.917
-3.7;15.524;-45.899
-3.8;15.626;-46.896
-3.9;15.727;-47.906
-4.0;15.827;-48.931
-4.1;15.927;-49.971
