gamma;w;alpha_c
110.7402958;99.0314849;-25.5122767
110.740295;99.0468337;-25.5157201
110.74029;99.0821088;-25.5236352
110.7402;99.2571826;-25.5629457
110.74;99.4332943;-25.6025345
110.7;103.8;-26.598
110.6;107.94;-27.57
110.5;110.71;-28.234
110.4;112.94;-28.777
110.3;114.86;-29.253
110.2;116.58;-29.683
110.1;118.15;-30.079
110.0;119.6;-30.45
109.9;120.96;-30.801
109.8;122.24;-31.134
109.7;123.46;-31.453
109.6;124.62;-31.76
109.5;125.73;-32.056
109.4;126.81;-32.343
109.3;127.84;-32.621
109.2;128.84;-32.893
109.1;129.8;-33.157
109.0;130.74;-33.415
108.9;131.66;-33.668
108.8;132.55;-33.916
108.7;133.42;-34.16
108.6;134.27;-34.399
108.5;135.1;-34.634
108.4;135.91;-34.865
108.3;136.7;-35.093
108.2;137.49;-35.317
108.1;138.25;-35.539
108.0;139.0;-35.758
107.9;139.75;-35.974
107.8;140.47;-36.187
107.7;141.19;-36.398
107.6;141.89;-36.607
107.5;142.59;-36.813
107.4;143.27;-37.018
107.3;143.95;-37.22
107.2;144.61;-37.421
107.1;145.27;-37.619
107.0;145.92;-37.817
106.9;146.56;-38.012
106.8;147.19;-38.206
106.7;147.81;-38.398
106.6;148.43;-38.589
106.5;149.04;-38.779
106.4;149.65;-38.967
106.3;150.24;-39.154
106.2;150.84;-39.339
106.1;151.42;-39.524
106.0;152.0;-39.707
105.9;152.57;-39.89
105.8;153.14;-40.071
105.7;153.71;-40.251
105.6;154.26;-40.43
105.5;154.82;-40.608
105.4;155.36;-40.785
105.3;155.91;-40.962
105.2;156.44;-41.137
105.1;156.98;-41.312
105.0;157.51;-41.485
104.9;158.03;-41.658
104.8;158.56;-41.83
104.7;159.07;-42.002
104.6;159.59;-42.173
104.5;160.1;-42.342
104.4;160.6;-42.512
104.3;161.1;-42.68
104.2;161.6;-42.848
104.1;162.1;-43.015
104.0;162.59;-43.182
103.9;163.08;-43.348
103.8;163.56;-43.514
103.7;164.04;-43.678
103.6;164.52;-43.843
103.5;165.0;-44.007
103.4;165.47;-44.17
103.3;165.94;-44.332
103.2;166.41;-44.495
103.1;166.87;-44.656
103.0;167.33;-44.818
102.9;167.79;-44.978
102.8;168.24;-45.139
102.7;168.7;-45.298
102.6;169.15;-45.458
102.5;169.6;-45.617
102.4;170.04;-45.775
102.3;170.48;-45.933
102.2;170.92;-46.091
102.1;171.36;-46.248
102.0;171.8;-46.405
101.9;172.23;-46.562
101.8;172.66;-46.718
101.7;173.09;-46.874
101.6;173.52;-47.029
101.5;173.94;-47.184
101.4;174.37;-47.339
101.3;174.79;-47.494
101.2;175.21;-47.648
101.1;175.62;-47.802
101.0;176.04;-47.955
100.9;176.45;-48.108
100.8;176.86;-48.261
100.7;177.27;-48.414
100.6;177.68;-48.566
100.5;178.08;-48.718
100.4;178.49;-48.87
100.3;178.89;-49.021
100.2;179.29;-49.173
100.1;179.69;-49.324
100.0;180.09;-49.474
99.9;180.48;-49.625
99.8;180.87;-49.775
99.7;181.27;-49.925
99.6;181.66;-50.075
99.5;182.04;-50.224
99.4;182.43;-50.373
99.3;182.82;-50.522
99.2;183.2;-50.671
99.1;183.58;-50.82
99.0;183.96;-50.968
98.9;184.34;-51.116
98.8;184.72;-51.264
98.7;185.1;-51.412
98.6;185.47;-51.56
98.5;185.85;-51.707
98.4;186.22;-51.854
98.3;186.59;-52.001
98.2;186.96;-52.148
98.1;187.33;-52.295
98.0;187.7;-52.441
97.9;188.06;-52.588
97.8;188.43;-52.734
97.7;188.79;-52.88
97.6;189.15;-53.026
97.5;189.51;-53.171
97.4;189.87;-53.317
97.3;190.23;-53.462
97.2;190.59;-53.607
97.1;190.95;-53.752
97.0;191.3;-53.897
96.9;191.65;-54.042
96.8;192.01;-54.187
96.7;192.36;-54.331
96.6;192.71;-54.475
96.5;193.06;-54.619
96.4;193.41;-54.764
96.3;193.75;-54.908
96.2;194.1;-55.051
96.1;194.44;-55.195
96.0;194.79;-55.339
95.9;195.13;-55.482
95.8;195.47;-55.625
95.7;195.81;-55.769
95.6;196.15;-55.912
95.5;196.49;-56.055
95.4;196.83;-56.197
95.3;197.16;-56.34
95.2;197.5;-56.483
95.1;197.83;-56.625
95.0;198.17;-56.768
94.9;198.5;-56.91
94.8;198.83;-57.052
94.7;199.16;-57.195
94.6;199.49;-57.337
94.5;199.82;-57.479
94.4;200.15;-57.62
94.3;200.48;-57.762
94.2;200.81;-57.904
94.1;201.13;-58.045
94.0;201.46;-58.187
93.9;201.78;-58.328
93.8;202.1;-58.47
93.7;202.42;-58.611
93.6;202.75;-58.752
93.5;203.07;-58.893
93.4;203.39;-59.034
93.3;203.71;-59.175
93.2;204.02;-59.316
93.1;204.34;-59.457
93.0;204.66;-59.598
92.9;204.97;-59.738
92.8;205.29;-59.879
92.7;205.6;-60.02
92.6;205.91;-60.16
92.5;206.23;-60.3
92.4;206.54;-60.441
92.3;206.85;-60.581
92.2;207.16;-60.721
92.1;207.47;-60.861
92.0;207.78;-61.002
91.9;208.09;-61.142
91.8;208.39;-61.282
91.7;208.7;-61.422
91.6;209.01;-61.561
91.5;209.31;-61.701
91.4;209.62;-61.841
91.3;209.92;-61.981
91.2;210.22;-62.12
91.1;210.52;-62.26
91.0;210.83;-62.4
90.9;211.13;-62.539
90.8;211.43;-62.679
90.7;211.73;-62.818
90.6;212.03;-62.958
90.5;212.32;-63.097
90.4;212.62;-63.236
90.3;212.92;-63.376
90.2;213.22;-63.515
90.1;213.51;-63.654
90.0;213.81;-63.793
89.9;214.1;-63.932
89.8;214.39;-64.071
89.7;214.69;-64.21
89.6;214.98;-64.349
89.5;215.27;-64.488
89.4;215.56;-64.627
89.3;215.85;-64.766
89.2;216.14;-64.905
89.1;216.43;-65.044
89.0;216.72;-65.183
88.9;217.01;-65.322
88.8;217.3;-65.461
88.7;217.59;-65.599
88.6;217.87;-65.738
88.5;218.16;-65.877
88.4;218.45;-66.015
88.3;218.73;-66.154
88.2;219.01;-66.293
88.1;219.3;-66.431
88.0;219.58;-66.57
87.9;219.86;-66.709
87.8;220.15;-66.847
87.7;220.43;-66.986
87.6;220.71;-67.124
87.5;220.99;-67.263
87.4;221.27;-67.401
87.3;221.55;-67.54
87.2;221.83;-67.678
87.1;222.11;-67.817
87.0;222.39;-67.955
86.9;222.66;-68.093
86.8;222.94;-68.232
86.7;223.22;-68.37
86.6;223.49;-68.509
86.5;223.77;-68.647
86.4;224.04;-68.785
86.3;224.32;-68.924
86.2;224.59;-69.062
