gamma;w;alpha_c
2.963;1366.551;-387.623
2.9;1366.641;-387.687
2.8;1366.784;-387.788
2.7;1366.927;-387.889
2.6;1367.07;-387.991
2.5;1367.212;-388.092
2.4;1367.355;-388.194
2.3;1367.498;-388.295
2.2;1367.641;-388.396
2.1;1367.784;-388.498
2.0;1367.926;-388.599
1.9;1368.069;-388.701
1.8;1368.212;-388.802
1.7;1368.355;-388.904
1.6;1368.497;-389.005
1.5;1368.64;-389.106
1.4;1368.783;-389.208
1.3;1368.925;-389.309
1.2;1369.068;-389.411
1.1;1369.211;-389.512
1.0;1369.353;-389.614
0.9;1369.496;-389.716
0.8;1369.638;-389.817
0.7;1369.781;-389.919
0.6;1369.923;-390.02
0.5;1370.066;-390.122
0.4;1370.208;-390.224
0.3;1370.351;-390.325
0.2;1370.493;-390.427
0.1;1370.636;-390.529
0.0;1370.777;-390.628
-0.1;1370.921;-390.732
-0.2;1371.063;-390.834
-0.3;1371.206;-390.935
-0.4;1371.348;-391.037
-0.5;1371.49;-391.139
-0.6;1371.633;-391.241
-0.7;1371.775;-391.342
-0.8;1371.917;-391.444
-0.9;1372.06;-391.546
-1.0;1372.202;-391.648
-1.1;1372.344;-391.75
-1.2;1372.487;-391.852
-1.3;1372.629;-391.953
-1.4;1372.771;-392.055
-1.5;1372.913;-392.157
-1.6;1373.056;-392.259
-1.7;1373.198;-392.361
-1.8;1373.34;-392.463
-1.9;1373.482;-392.565
-2.0;1373.624;-392.667
-2.1;1373.766;-392.769
-2.2;1373.908;-392.871
-2.3;1374.05;-392.973
-2.4;1374.193;-393.075
-2.5;1374.335;-393.177
-2.6;1374.477;-393.279
-2.7;1374.619;-393.381
-2.8;1374.761;-393.483
-2.9;1374.903;-393.585
-3.0;1375.045;-393.687
-3.1;1375.187;-393.789
-3.2;1375.329;-393.891
-3.3;1375.471;-393.993
-3.4;1375.612;-394.095
-3.5;1375.754;-394.197
-3.6;1375.896;-394.3
-3.7;1376.038;-394.402
-3.8;1376.18;-394.504
-3.9;1376.322;-394.606
-4.0;1376.464;-394.709
-4.1;1376.606;-394.811
