gamma;w;alpha_c
4.1;223.487;-149.773
4.0;223.633;-150.014
3.9;223.78;-150.255
3.8;223.926;-150.496
3.7;224.072;-150.738
3.6;224.218;-150.979
3.5;224.364;-151.221
3.4;224.509;-151.463
3.3;224.655;-151.705
3.2;224.801;-151.947
3.1;224.946;-152.19
3.0;225.091;-152.433
2.9;225.237;-152.676
2.8;225.382;-152.919
2.7;225.527;-153.162
2.6;225.672;-153.405
2.5;225.817;-153.649
2.4;225.961;-153.893
2.3;226.106;-154.137
2.2;226.251;-154.381
2.1;226.395;-154.626
2.0;226.54;-154.87
1.9;226.684;-155.115
1.8;226.828;-155.36
1.7;226.972;-155.605
1.6;227.116;-155.851
1.5;227.26;-156.096
1.4;227.404;-156.342
1.3;227.548;-156.588
1.2;227.691;-156.834
1.1;227.835;-157.081
1.0;227.978;-157.327
0.9;228.121;-157.574
0.8;228.265;-157.821
0.7;228.408;-158.068
0.6;228.551;-158.315
0.5;228.694;-158.563
0.4;228.837;-158.811
0.3;228.979;-159.059
0.2;229.122;-159.307
0.1;229.265;-159.555
0.0;229.407;-159.803
-0.1;229.55;-160.052
-0.2;229.692;-160.301
-0.3;229.834;-160.55
-0.4;229.976;-160.799
-0.5;230.118;-161.049
-0.6;230.26;-161.298
-0.7;230.402;-161.548
-0.8;230.544;-161.798
-0.9;230.685;-162.048
-1.0;230.827;-162.299
-1.1;230.968;-162.549
-1.2;231.11;-162.8
-1.3;231.251;-163.051
-1.4;231.392;-163.302
-1.5;231.533;-163.554
-1.6;231.674;-163.805
-1.7;231.815;-164.057
-1.8;231.956;-164.309
-1.9;232.097;-164.561
-2.0;232.238;-164.814
-2.1;232.378;-165.066
-2.2;232.519;-165.319
-2.3;232.659;-165.572
-2.4;232.8;-165.825
-2.5;232.94;-166.079
-2.6;233.08;-166.332
-2.7;233.22;-166.586
-2.8;233.36;-166.84
-2.9;233.5;-167.094
-3.0;233.64;-167.348
-3.1;233.779;-167.603
-3.2;233.919;-167.857
-3.3;234.059;-168.113
-3.4;234.198;-168.368
-3.5;234.337;-168.623
-3.6;234.477;-168.878
-3.7;234.616;-169.134
-3.8;234.755;-169.39
-3.9;234.894;-169.646
-4.0;235.033;-169.903
-4.1;235.172;-170.159
