gamma;alpha_c;alpha_u
4.1;-1.85;-1.825
4.0;-2.098;-1.82
3.9;-2.352;-1.82
3.8;-2.616;-1.81
3.7;-2.882;-1.8
3.6;-3.156;-1.79
3.5;-3.436;-1.78
3.4;-3.722;-1.77
3.3;-4.014;-1.76
3.2;-4.312;-1.74
3.1;-4.618;-1.72
3.0;-4.93;-1.7
2.9;-5.25;-1.68
2.8;-5.576;-1.65
2.7;-5.908;-1.63
2.6;-6.248;-1.6
2.5;-6.594;-1.57
2.4;-6.948;-1.54
2.3;-7.31;-1.51
2.2;-7.678;-1.47
2.1;-8.052;-1.43
2.0;-8.436;-1.39
1.9;-8.826;-1.35
1.8;-9.226;-1.3
1.7;-9.63;-1.25
1.6;-10.036;-1.2
1.5;-10.464;-1.15
1.4;-10.892;-1.09
1.3;-11.332;-1.03
1.2;-11.78;-0.97
1.1;-12.236;-0.9
1.0;-12.7;-0.83
0.9;-13.17;-0.76
0.8;-13.65;-0.69
0.7;-14.14;-0.61
0.6;-14.638;-0.53
0.5;-15.142;-0.45
0.4;-15.66;-0.36
0.3;-16.182;-0.27
0.2;-16.722;-0.18
0.1;-17.262;-0.09
0.0;-17.818;0.0
-0.1;-18.378;0.11
-0.2;-18.95;0.21
-0.3;-19.532;0.32
-0.4;-20.124;0.43
-0.5;-20.722;0.55
-0.6;-21.332;0.67
-0.7;-21.954;0.79
-0.8;-22.59;0.92
-0.9;-23.234;1.05
-1.0;-23.888;1.18
-1.1;-24.552;1.32
-1.2;-25.228;1.46
-1.3;-25.912;1.61
-1.4;-26.608;1.76
-1.5;-27.316;1.91
-1.6;-28.034;2.07
-1.7;-28.764;2.23
-1.8;-29.506;2.4
-1.9;-30.258;2.57
-2.0;-31.02;2.74
-2.1;-31.792;2.92
-2.2;-32.574;3.11
-2.3;-33.374;3.3
-2.4;-34.186;3.49
-2.5;-35.014;3.69
-2.6;-35.854;3.89
-2.7;-36.72;4.1
-2.8;-37.59;4.31
-2.9;-38.47;4.53
-3.0;-39.36;4.75
-3.1;-40.26;4.98
-3.2;-41.17;5.21
-3.3;-42.1;5.45
-3.4;-43.05;5.69
-3.5;-44.0;5.94
-3.6;-44.96;6.19
-3.7;-45.95;6.45
-3.8;-46.96;6.72
-3.9;-47.97;6.99
-4.0;-48.99;7.27
-4.1;-50.04;7.55
