gamma;w;alpha_c
4.1;38.697;-50.301
4.0;38.855;-50.766
3.9;39.013;-51.234
3.8;39.17;-51.703
3.7;39.326;-52.175
3.6;39.482;-52.649
3.5;39.637;-53.125
3.4;39.792;-53.604
3.3;39.946;-54.084
3.2;40.099;-54.567
3.1;40.252;-55.052
3.0;40.405;-55.539
2.9;40.556;-56.028
2.8;40.708;-56.519
2.7;40.858;-57.013
2.6;41.009;-57.509
2.5;41.158;-58.007
2.4;41.308;-58.507
2.3;41.456;-59.009
2.2;41.605;-59.514
2.1;41.752;-60.021
2.0;41.899;-60.53
1.9;42.046;-61.041
1.8;42.192;-61.555
1.7;42.338;-62.071
1.6;42.483;-62.589
1.5;42.628;-63.11
1.4;42.772;-63.632
1.3;42.916;-64.157
1.2;43.06;-64.685
1.1;43.203;-65.214
1.0;43.345;-65.746
0.9;43.487;-66.281
0.8;43.629;-66.817
0.7;43.77;-67.356
0.6;43.911;-67.897
0.5;44.051;-68.441
0.4;44.191;-68.987
0.3;44.331;-69.535
0.2;44.47;-70.086
0.1;44.608;-70.639
0.0;44.747;-71.194
-0.1;44.884;-71.752
-0.2;45.022;-72.312
-0.3;45.159;-72.875
-0.4;45.296;-73.44
-0.5;45.432;-74.007
-0.6;45.568;-74.577
-0.7;45.703;-75.149
-0.8;45.839;-75.724
-0.9;45.973;-76.301
-1.0;46.108;-76.88
-1.1;46.242;-77.462
-1.2;46.376;-78.046
-1.3;46.509;-78.633
-1.4;46.642;-79.222
-1.5;46.774;-79.814
-1.6;46.907;-80.408
-1.7;47.039;-81.005
-1.8;47.17;-81.605
-1.9;47.301;-82.206
-2.0;47.432;-82.81
-2.1;47.563;-83.417
-2.2;47.693;-84.027
-2.3;47.823;-84.638
-2.4;47.952;-85.253
-2.5;48.082;-85.87
-2.6;48.21;-86.489
-2.7;48.339;-87.111
-2.8;48.467;-87.736
-2.9;48.595;-88.363
-3.0;48.723;-88.992
-3.1;48.85;-89.625
-3.2;48.977;-90.26
-3.3;49.104;-90.897
-3.4;49.23;-91.537
-3.5;49.356;-92.18
-3.6;49.482;-92.825
-3.7;49.607;-93.473
-3.8;49.732;-94.124
-3.9;49.857;-94.777
-4.0;49.982;-95.433
-4.1;50.106;-96.091
