gamma;w;alpha_f
5.634962472;10.199064;-11.331898
5.63496;10.1862;-11.313087
5.6349;10.133603;-11.236311
5.634;9.94;-10.956
5.633;9.828;-10.794
5.632;9.742;-10.671
5.631;9.669;-10.567
5.63;9.604;-10.476
5.6;8.56;-9.044
5.5;6.708;-6.759
5.4;5.215;-5.202
5.3;3.634;-3.902
5.2;1.159;-2.738
5.19;0.492;-2.627
5.188;0.152;-2.605
5.1879;0.11;-2.604
5.1878;0.035;-2.6029
5.18779;0.013;-2.6028
