gamma;w;alpha_c
4.285574265;0.0010173252;-1.9360264
4.285;0.152;-1.938
4.28;0.459;-1.954
4.223066;1.5373634;-2.1371511
4.2;1.799;-2.212
4.1;2.651;-2.541
4.0;3.29;-2.877
3.9;3.825;-3.219
3.8;4.295;-3.569
3.7;4.719;-3.926
3.6;5.108;-4.289
3.5;5.471;-4.66
3.4;5.812;-5.039
3.3;6.135;-5.424
3.2;6.442;-5.817
3.1;6.735;-6.218
3.0;7.017;-6.626
2.9;7.288;-7.041
2.8;7.551;-7.466
2.7;7.804;-7.896
2.6;8.051;-8.334
2.5;8.29;-8.781
2.4;8.523;-9.236
2.3;8.751;-9.698
2.2;8.973;-10.169
2.1;9.19;-10.648
2.0;9.402;-11.135
1.9;9.61;-11.631
1.8;9.814;-12.135
1.7;10.014;-12.647
1.6;10.21;-13.168
1.5;10.404;-13.697
1.4;10.593;-14.235
1.3;10.78;-14.782
1.2;10.964;-15.338
1.1;11.146;-15.903
1.0;11.324;-16.476
0.9;11.5;-17.059
0.8;11.674;-17.651
0.7;11.845;-18.252
0.6;12.015;-18.862
0.5;12.182;-19.482
0.4;12.347;-20.111
0.3;12.51;-20.75
0.2;12.671;-21.398
0.1;12.831;-22.056
0.0;12.989;-22.724
-0.1;13.145;-23.401
-0.2;13.299;-24.089
-0.3;13.452;-24.787
-0.4;13.604;-25.494
-0.5;13.754;-26.212
-0.6;13.902;-26.94
-0.7;14.05;-27.679
-0.8;14.195;-28.428
-0.9;14.34;-29.187
-1.0;14.483;-29.957
-1.1;14.625;-30.738
-1.2;14.766;-31.529
-1.3;14.906;-32.332
-1.4;15.045;-33.145
-1.5;15.182;-33.97
-1.6;15.319;-34.805
-1.7;15.454;-35.652
-1.8;15.588;-36.51
-1.9;15.722;-37.38
-2.0;15.854;-38.261
-2.1;15.986;-39.153
-2.2;16.116;-40.057
-2.3;16.246;-40.973
-2.4;16.375;-41.901
-2.5;16.503;-42.841
-2.6;16.63;-43.793
-2.7;16.756;-44.757
-2.8;16.882;-45.733
-2.9;17.007;-46.721
-3.0;17.131;-47.722
-3.1;17.254;-48.736
-3.2;17.376;-49.762
-3.3;17.498;-50.8
-3.4;17.619;-51.852
-3.5;17.739;-52.916
-3.6;17.859;-53.994
-3.7;17.978;-55.084
-3.8;18.096;-56.188
-3.9;18.214;-57.305
-4.0;18.331;-58.436
-4.1;18.447;-59.58
