gamma;w;alpha_f
88.6;11.8168;-11.6094
88.5;11.7712;-11.5954
88.4;11.7251;-11.5813
88.3;11.6783;-11.5671
88.2;11.631;-11.5528
88.1;11.583;-11.5384
88.0;11.5343;-11.5238
87.9;11.485;-11.5091
87.8;11.4351;-11.4942
87.7;11.3844;-11.4793
87.6;11.333;-11.4642
87.5;11.2809;-11.449
87.4;11.228;-11.4336
87.3;11.1744;-11.4181
87.2;11.12;-11.4025
87.1;11.0648;-11.3867
87.0;11.0088;-11.3708
86.9;10.9519;-11.3548
86.8;10.8942;-11.3387
86.7;10.8356;-11.3224
86.6;10.7761;-11.306
86.5;10.7157;-11.2894
86.4;10.6543;-11.2727
86.3;10.592;-11.2559
86.2;10.5287;-11.2389
86.1;10.4644;-11.2218
86.0;10.3991;-11.2046
85.9;10.3327;-11.1872
85.8;10.2652;-11.1697
85.7;10.1966;-11.152
85.6;10.1269;-11.1342
85.5;10.056;-11.1163
85.4;9.98386;-11.0982
85.3;9.91054;-11.08
85.2;9.83595;-11.0616
85.1;9.76007;-11.0431
85.0;9.68286;-11.0245
84.9;9.60428;-11.0057
84.8;9.5243;-10.9868
84.7;9.44286;-10.9677
84.6;9.35995;-10.9485
84.5;9.2755;-10.9292
84.4;9.18946;-10.9097
84.3;9.1018;-10.89
84.2;9.01246;-10.8702
84.1;8.92135;-10.8503
84.0;8.8285;-10.8302
83.9;8.73375;-10.81
83.8;8.6371;-10.7896
83.7;8.53848;-10.7691
83.6;8.43778;-10.7484
83.5;8.33489;-10.7276
83.4;8.22981;-10.7066
83.3;8.12247;-10.6855
83.2;8.01262;-10.6642
83.1;7.90028;-10.6427
83.0;7.7853;-10.6212
82.9;7.66755;-10.5994
82.8;7.54693;-10.5775
82.7;7.42323;-10.5555
82.6;7.29644;-10.5333
82.5;7.16625;-10.5109
82.4;7.03238;-10.4884
82.3;6.89481;-10.4657
82.2;6.75325;-10.4429
82.1;6.60754;-10.42
82.0;6.45702;-10.3968
81.9;6.30185;-10.3735
81.8;6.14125;-10.35
81.7;5.9751;-10.3264
81.6;5.80266;-10.3027
81.5;5.62338;-10.2787
81.4;5.43689;-10.2546
81.3;5.24189;-10.2303
81.2;5.03779;-10.2059
81.1;4.82342;-10.1813
81.0;4.59717;-10.1565
80.9;4.35713;-10.1316
80.8;4.1014;-10.1065
80.7;3.82572;-10.0812
80.6;3.52688;-10.0558
80.5;3.19756;-10.0302
80.4;2.82676;-10.0044
80.3;2.39593;-9.97845
80.2;1.8638;-9.95234
80.1;1.08788649;-9.92598188
80.05;0.185208339;-9.91276574
80.049;0.106175452;-9.91250097
80.0486;0.0454009225;-9.91239505
80.04852;0.0147836783;-9.91237386
80.048511;0.00334599496;-9.91237148
80.0485106;0.00140834758;-9.91237137
80.04851052;0.000375569256;-9.91237135
