gamma;w;alpha_f
110.7402958;99.0173907;-25.509115
110.740295;99.0020418;-25.5056722
110.74029;98.9667677;-25.4977614
110.7402;98.7917079;-25.4585285
110.74;98.6156107;-25.4191081
110.7;94.2576;-24.4578
110.6;90.1212;-23.5705
110.5;87.3654;-22.9926
110.4;85.1453;-22.5346
110.3;83.2232;-22.1436
110.2;81.5079;-21.7989
110.1;79.9426;-21.4878
110.0;78.4901;-21.2021
109.9;77.1286;-20.937
109.8;75.8418;-20.6887
109.7;74.6176;-20.4545
109.6;73.4484;-20.2329
109.5;72.3237;-20.0214
109.4;71.2418;-19.8196
109.3;70.1947;-19.6259
109.2;69.1797;-19.4396
109.1;68.1941;-19.2601
109.0;67.2322;-19.0862
108.9;66.2967;-18.9184
108.8;65.3804;-18.7553
108.7;64.4846;-18.597
108.6;63.6072;-18.4431
108.5;62.7478;-18.2934
108.4;61.9015;-18.1472
108.3;61.071;-18.0048
108.2;60.2531;-17.8655
108.1;59.4491;-17.7296
108.0;58.6557;-17.5966
107.9;57.873;-17.4663
107.8;57.1007;-17.3388
107.7;56.3387;-17.2139
107.6;55.5855;-17.0915
107.5;54.8411;-16.9714
107.4;54.1053;-16.8536
107.3;53.3769;-16.7379
107.2;52.6557;-16.6244
107.1;51.9417;-16.5129
107.0;51.235;-16.4034
106.9;50.5342;-16.2958
106.8;49.8406;-16.1902
106.7;49.153;-16.0865
106.6;48.4708;-15.9844
106.5;47.7952;-15.8843
106.4;47.1244;-15.7858
106.3;46.4598;-15.689
106.2;45.8;-15.5939
106.1;45.1464;-15.5006
106.0;44.4979;-15.409
105.9;43.8544;-15.3189
105.8;43.2161;-15.2305
105.7;42.583;-15.1437
105.6;41.9561;-15.0586
105.5;41.3334;-14.9751
105.4;40.7171;-14.8932
105.3;40.1061;-14.813
105.2;39.5005;-14.7344
105.1;38.9012;-14.6574
105.0;38.3073;-14.5821
104.9;37.7198;-14.5085
104.8;37.1386;-14.4365
104.7;36.5637;-14.3661
104.6;35.9952;-14.2974
104.5;35.4337;-14.2304
104.4;34.8789;-14.165
104.3;34.3316;-14.1013
104.2;33.7921;-14.0394
104.1;33.2594;-13.979
104.0;32.7351;-13.9204
103.9;32.2183;-13.8634
103.8;31.7101;-13.8081
103.7;31.2102;-13.7545
103.6;30.719;-13.7025
103.5;30.2362;-13.6521
103.4;29.7632;-13.6035
103.3;29.2983;-13.5563
103.2;28.8434;-13.5108
103.1;28.3976;-13.4668
103.0;27.9607;-13.4243
102.9;27.5338;-13.3834
102.8;27.1161;-13.3439
102.7;26.7085;-13.3059
102.6;26.3103;-13.2693
102.5;25.9217;-13.2341
102.4;25.5426;-13.2002
102.3;25.1732;-13.1676
102.2;24.8128;-13.1363
102.1;24.4622;-13.1062
102.0;24.1212;-13.0773
101.9;23.789;-13.0495
101.8;23.4659;-13.0228
101.7;23.1522;-12.9972
101.6;22.8471;-12.9727
101.5;22.5503;-12.949
101.4;22.2628;-12.9264
101.3;21.9832;-12.9046
101.2;21.7118;-12.8837
101.1;21.4487;-12.8636
101.0;21.1931;-12.8443
100.9;20.9453;-12.8258
100.8;20.7047;-12.8079
100.7;20.4718;-12.7908
100.6;20.2459;-12.7743
100.5;20.0269;-12.7584
100.4;19.8145;-12.7431
100.3;19.6089;-12.7283
100.2;19.4094;-12.7141
100.1;19.2161;-12.7003
100.0;19.0288;-12.6871
99.9;18.8473;-12.6743
99.8;18.6714;-12.6619
99.7;18.5012;-12.6499
99.6;18.3361;-12.6383
99.5;18.176;-12.627
99.4;18.0211;-12.6161
99.3;17.8708;-12.6055
99.2;17.7254;-12.5952
99.1;17.5844;-12.5852
99.0;17.4478;-12.5754
98.9;17.3152;-12.5659
98.8;17.187;-12.5565
98.7;17.0624;-12.5475
98.6;16.9419;-12.5386
98.5;16.8249;-12.5299
98.4;16.7113;-12.5213
98.3;16.6014;-12.513
98.2;16.4948;-12.5047
98.1;16.3912;-12.4966
98.0;16.2908;-12.4887
97.9;16.1934;-12.4808
97.8;16.0989;-12.4731
97.7;16.007;-12.4654
97.6;15.9179;-12.4579
97.5;15.8314;-12.4504
97.4;15.7473;-12.443
97.3;15.6656;-12.4356
97.2;15.5863;-12.4283
97.1;15.509;-12.4211
97.0;15.434;-12.4139
96.9;15.3609;-12.4067
96.8;15.29;-12.3996
96.7;15.2209;-12.3924
96.6;15.1535;-12.3853
96.5;15.088;-12.3782
96.4;15.0241;-12.3712
96.3;14.9619;-12.3641
96.2;14.9012;-12.357
96.1;14.842;-12.3499
96.0;14.7842;-12.3428
95.9;14.7279;-12.3356
95.8;14.6728;-12.3285
95.7;14.619;-12.3213
95.6;14.5664;-12.3141
95.5;14.5149;-12.3068
95.4;14.4646;-12.2995
95.3;14.4153;-12.2922
95.2;14.367;-12.2848
95.1;14.3198;-12.2774
95.0;14.2734;-12.27
94.9;14.2278;-12.2624
94.8;14.1831;-12.2549
94.7;14.1391;-12.2472
94.6;14.096;-12.2396
94.5;14.0535;-12.2318
94.4;14.0117;-12.224
94.3;13.9705;-12.2161
94.2;13.93;-12.2082
94.1;13.89;-12.2001
94.0;13.8505;-12.192
93.9;13.8115;-12.1839
93.8;13.773;-12.1756
93.7;13.7349;-12.1673
93.6;13.6972;-12.1589
93.5;13.6599;-12.1504
93.4;13.6229;-12.1418
93.3;13.5862;-12.1332
93.2;13.5499;-12.1244
93.1;13.5137;-12.1156
93.0;13.4778;-12.1067
92.9;13.4422;-12.0976
92.8;13.4067;-12.0885
92.7;13.3713;-12.0793
92.6;13.3361;-12.07
92.5;13.3011;-12.0606
92.4;13.2661;-12.0511
92.3;13.2311;-12.0416
92.2;13.1963;-12.0319
92.1;13.1614;-12.0221
92.0;13.1266;-12.0122
91.9;13.0917;-12.0022
91.8;13.0568;-11.9921
91.7;13.0218;-11.9819
91.6;12.9868;-11.9716
91.5;12.9517;-11.9612
91.4;12.9164;-11.9506
91.3;12.8811;-11.94
91.2;12.8455;-11.9293
91.1;12.8099;-11.9184
91.0;12.774;-11.9074
90.9;12.7379;-11.8964
90.8;12.7017;-11.8852
90.7;12.6651;-11.8739
90.6;12.6284;-11.8625
90.5;12.5914;-11.8509
90.4;12.554;-11.8393
90.3;12.5164;-11.8275
90.2;12.4785;-11.8157
90.1;12.4403;-11.8037
90.0;12.4017;-11.7916
89.9;12.3627;-11.7793
89.8;12.3234;-11.767
89.7;12.2837;-11.7545
89.6;12.2435;-11.7419
89.5;12.203;-11.7292
89.4;12.162;-11.7164
89.3;12.1206;-11.7035
89.2;12.0787;-11.6904
89.1;12.0363;-11.6772
89.0;11.9935;-11.6639
88.9;11.9501;-11.6504
88.8;11.9062;-11.6369
88.7;11.8618;-11.6232
