gamma;w;alpha_c
9.002669738;13.540905;-14.587681
9.00266;13.557589;-14.605187
9.0026;13.585773;-14.634787
9.002;13.68;-14.734
9.0;13.82;-14.882
8.9;15.315;-16.534
8.8;16.065;-17.42
8.7;16.655;-18.149
8.6;17.163;-18.8
8.5;17.618;-19.404
8.4;18.035;-19.975
8.3;18.423;-20.522
8.2;18.789;-21.053
8.1;19.136;-21.569
8.0;19.468;-22.076
7.9;19.786;-22.573
7.8;20.093;-23.065
7.7;20.39;-23.55
7.6;20.678;-24.032
7.5;20.957;-24.51
7.4;21.23;-24.985
7.3;21.496;-25.458
7.2;21.755;-25.929
7.1;22.009;-26.399
7.0;22.258;-26.869
6.9;22.503;-27.337
6.8;22.742;-27.806
6.7;22.978;-28.275
6.6;23.209;-28.744
6.5;23.437;-29.213
6.4;23.662;-29.683
6.3;23.883;-30.154
6.2;24.101;-30.626
6.1;24.317;-31.099
6.0;24.529;-31.573
5.9;24.739;-32.048
5.8;24.946;-32.525
5.7;25.151;-33.004
5.6;25.353;-33.484
5.5;25.553;-33.965
5.4;25.751;-34.449
5.3;25.947;-34.934
5.2;26.141;-35.422
5.1;26.333;-35.911
5.0;26.523;-36.402
4.9;26.712;-36.896
4.8;26.899;-37.392
4.7;27.084;-37.889
4.6;27.267;-38.389
4.5;27.449;-38.892
4.4;27.629;-39.397
4.3;27.808;-39.904
4.2;27.986;-40.413
4.1;28.162;-40.925
4.0;28.337;-41.44
3.9;28.51;-41.957
3.8;28.682;-42.476
3.7;28.853;-42.998
3.6;29.023;-43.523
3.5;29.192;-44.05
3.4;29.359;-44.581
3.3;29.525;-45.113
3.2;29.691;-45.649
3.1;29.855;-46.187
3.0;30.018;-46.728
2.9;30.18;-47.272
2.8;30.341;-47.819
2.7;30.501;-48.369
2.6;30.66;-48.921
2.5;30.819;-49.477
2.4;30.976;-50.035
2.3;31.132;-50.597
2.2;31.288;-51.161
2.1;31.443;-51.728
2.0;31.597;-52.299
1.9;31.75;-52.872
1.8;31.902;-53.448
1.7;32.053;-54.028
1.6;32.204;-54.611
1.5;32.354;-55.196
1.4;32.503;-55.785
1.3;32.651;-56.377
1.2;32.799;-56.972
1.1;32.946;-57.571
1.0;33.092;-58.172
0.9;33.238;-58.777
0.8;33.382;-59.385
0.7;33.527;-59.997
0.6;33.67;-60.611
0.5;33.813;-61.229
0.4;33.955;-61.851
0.3;34.097;-62.475
0.2;34.238;-63.103
0.1;34.378;-63.734
0.0;34.519;-64.373
-0.1;34.658;-65.007
-0.2;34.796;-65.649
-0.3;34.934;-66.294
-0.4;35.072;-66.942
-0.5;35.209;-67.594
-0.6;35.345;-68.249
-0.7;35.481;-68.908
-0.8;35.616;-69.57
-0.9;35.751;-70.236
-1.0;35.885;-70.906
-1.1;36.019;-71.579
-1.2;36.152;-72.255
-1.3;36.285;-72.935
-1.4;36.417;-73.619
-1.5;36.549;-74.307
-1.6;36.68;-74.998
-1.7;36.811;-75.692
-1.8;36.942;-76.391
-1.9;37.072;-77.093
-2.0;37.201;-77.798
-2.1;37.33;-78.508
-2.2;37.459;-79.221
-2.3;37.587;-79.938
-2.4;37.714;-80.659
-2.5;37.842;-81.383
-2.6;37.968;-82.112
-2.7;38.095;-82.844
-2.8;38.221;-83.579
-2.9;38.346;-84.319
-3.0;38.471;-85.063
-3.1;38.596;-85.81
-3.2;38.721;-86.562
-3.3;38.844;-87.317
-3.4;38.968;-88.076
-3.5;39.091;-88.839
-3.6;39.214;-89.606
-3.7;39.336;-90.377
-3.8;39.459;-91.152
-3.9;39.58;-91.931
-4.0;39.701;-92.714
-4.1;39.822;-93.501
