gamma;w;alpha_c
22.050253;0.00641190562;-5.03804577
22.05;0.23057;-5.039
22.0;2.5649;-5.1587
21.9;4.4839;-5.4039
21.8;5.8495;-5.6557
21.7;6.9944;-5.9144
21.6;8.0148;-6.1801
21.5;8.953;-6.4527
21.4;9.8325;-6.7321
21.3;10.667;-7.0183
21.2;11.467;-7.3109
21.1;12.236;-7.6096
21.0;12.981;-7.914
20.9;13.702;-8.2237
20.8;14.403;-8.5382
20.7;15.086;-8.8571
20.6;15.751;-9.1798
20.5;16.399;-9.5058
20.4;17.031;-9.8347
20.3;17.648;-10.166
20.2;18.251;-10.499
20.1;18.839;-10.834
20.0;19.413;-11.17
19.9;19.975;-11.508
19.8;20.523;-11.845
19.7;21.06;-12.184
19.6;21.584;-12.522
19.5;22.097;-12.861
19.4;22.599;-13.199
19.3;23.09;-13.537
19.2;23.572;-13.875
19.1;24.043;-14.213
19.0;24.505;-14.55
18.9;24.958;-14.887
18.8;25.403;-15.223
18.7;25.839;-15.559
18.6;26.267;-15.894
18.5;26.688;-16.228
18.4;27.101;-16.562
18.3;27.507;-16.896
18.2;27.906;-17.228
18.1;28.299;-17.561
18.0;28.685;-17.893
17.9;29.065;-18.224
17.8;29.44;-18.555
17.7;29.809;-18.886
17.6;30.172;-19.216
17.5;30.53;-19.545
17.4;30.883;-19.875
17.3;31.232;-20.204
17.2;31.575;-20.532
17.1;31.914;-20.861
17.0;32.249;-21.189
16.9;32.579;-21.517
16.8;32.905;-21.845
16.7;33.227;-22.172
16.6;33.546;-22.5
16.5;33.861;-22.827
16.4;34.172;-23.154
16.3;34.479;-23.482
16.2;34.783;-23.809
16.1;35.084;-24.136
16.0;35.382;-24.463
15.9;35.676;-24.791
15.8;35.968;-25.118
15.7;36.257;-25.446
15.6;36.542;-25.773
15.5;36.825;-26.101
15.4;37.106;-26.429
15.3;37.383;-26.757
15.2;37.658;-27.085
15.1;37.931;-27.414
15.0;38.201;-27.742
14.9;38.469;-28.071
14.8;38.735;-28.401
14.7;38.998;-28.73
14.6;39.259;-29.06
14.5;39.518;-29.39
14.4;39.775;-29.721
14.3;40.029;-30.052
14.2;40.282;-30.383
