gamma;w;alpha_f
60.42048062;53.2361438;-18.4920064
60.4204806;53.2341147;-18.4913839
60.42048;53.2216898;-18.4875722
60.4204;53.0627581;-18.4388616
60.42;52.8112051;-18.3619361
60.4;50.4306168;-17.6443294
60.3;46.2872739;-16.4394139
60.2;43.6825758;-15.7102549
60.1;41.5405544;-15.1270309
60.0;39.6323913;-14.6201204
59.9;37.8582936;-14.1597179
59.8;36.1625606;-13.7297014
59.7;34.503744;-13.3188244
59.6;32.8477275;-12.9185995
59.5;31.1601106;-12.5213426
59.4;29.396493;-12.1180959
59.3;27.4904239;-11.69657
59.2;25.3142021;-11.2344028
59.1;22.5112741;-10.6711448
59.03;18.9877389;-10.0189295
59.021;17.6646856;-9.79161163
59.0201;17.2359214;-9.72015375
59.02002;17.1096801;-9.69932622
59.020012;17.0687997;-9.69260254
