gamma;w;alpha_c
60.42048062;53.2378208;-18.4925209
60.4204806;53.23985;-18.4931435
60.42048;53.2522729;-18.4969553
60.4204;53.4109866;-18.5456998
60.42;53.6614536;-18.6227959
60.4;55.9836;-19.3477
60.3;59.8405;-20.5932
60.2;62.1278;-21.3572
60.1;63.9225;-21.9704
60.0;65.4485;-22.5015
59.9;66.8005;-22.9798
59.8;68.0245;-23.4191
59.7;69.154;-23.8299
59.6;70.2064;-24.2175
59.5;71.1963;-24.5863
59.4;72.1341;-24.9396
59.3;73.0264;-25.2794
59.2;73.8814;-25.6081
59.1;74.7011;-25.9264
59.0;75.4918;-26.2363
58.9;76.2551;-26.5381
58.8;76.9943;-26.833
58.7;77.7114;-27.1215
58.6;78.4082;-27.4041
58.5;79.0871;-27.6817
58.4;79.7491;-27.9544
58.3;80.3952;-28.2227
58.2;81.0267;-28.4869
58.1;81.6446;-28.7472
58.0;82.2498;-29.0041
57.9;82.8432;-29.2577
57.8;83.4257;-29.5084
57.7;83.9975;-29.7561
57.6;84.559;-30.001
57.5;85.1117;-30.2436
57.4;85.655;-30.4837
57.3;86.1903;-30.7217
57.2;86.7171;-30.9574
57.1;87.2363;-31.1911
57.0;87.7483;-31.423
56.9;88.2534;-31.6531
56.8;88.7517;-31.8815
56.7;89.2437;-32.1083
56.6;89.7292;-32.3334
56.5;90.2088;-32.557
56.4;90.6831;-32.7794
56.3;91.1517;-33.0003
56.2;91.6152;-33.22
56.1;92.0733;-33.4384
56.0;92.5264;-33.6556
55.9;92.975;-33.8717
55.8;93.4192;-34.0868
55.7;93.8588;-34.3008
55.6;94.2941;-34.5138
55.5;94.7252;-34.7258
55.4;95.1521;-34.9369
55.3;95.5754;-35.1472
55.2;95.9949;-35.3566
55.1;96.4106;-35.5652
55.0;96.8226;-35.7729
54.9;97.2314;-35.98
54.8;97.6366;-36.1863
54.7;98.0387;-36.3919
54.6;98.4374;-36.5968
54.5;98.8331;-36.8011
54.4;99.2258;-37.0048
54.3;99.6154;-37.2078
54.2;100.002;-37.4102
54.1;100.386;-37.612
54.0;100.767;-37.8134
53.9;101.146;-38.0143
53.8;101.522;-38.2145
53.7;101.895;-38.4143
53.6;102.266;-38.6136
53.5;102.634;-38.8124
53.4;103.0;-39.0108
53.3;103.363;-39.2089
53.2;103.724;-39.4064
53.1;104.084;-39.6035
53.0;104.44;-39.8003
52.9;104.795;-39.9967
52.8;105.147;-40.1927
52.7;105.498;-40.3883
52.6;105.846;-40.5836
52.5;106.192;-40.7786
52.4;106.537;-40.9733
52.3;106.879;-41.1677
52.2;107.22;-41.3617
52.1;107.558;-41.5554
52.0;107.895;-41.7489
51.9;108.23;-41.9421
51.8;108.564;-42.1351
51.7;108.895;-42.3278
51.6;109.225;-42.5203
51.5;109.553;-42.7125
51.4;109.88;-42.9045
51.3;110.205;-43.0963
51.2;110.528;-43.2878
51.1;110.85;-43.4791
51.0;111.17;-43.6703
50.9;111.489;-43.8612
50.8;111.806;-44.052
50.7;112.122;-44.2425
50.6;112.436;-44.4329
50.5;112.749;-44.6231
50.4;113.061;-44.8133
50.3;113.371;-45.0031
50.2;113.679;-45.1929
50.1;113.987;-45.3825
50.0;114.293;-45.572
49.9;114.598;-45.7614
49.8;114.901;-45.9506
49.7;115.203;-46.1397
49.6;115.504;-46.3286
49.5;115.804;-46.5175
49.4;116.103;-46.7063
49.3;116.4;-46.8949
49.2;116.696;-47.0834
49.1;116.991;-47.2719
49.0;117.285;-47.4602
48.9;117.577;-47.6485
48.8;117.869;-47.8367
48.7;118.159;-48.0248
48.6;118.449;-48.2128
48.5;118.737;-48.4007
48.4;119.024;-48.5886
48.3;119.31;-48.7764
48.2;119.595;-48.9642
48.1;119.879;-49.1519
48.0;120.162;-49.3395
47.9;120.445;-49.5271
47.8;120.726;-49.7146
47.7;121.006;-49.9021
47.6;121.285;-50.0895
47.5;121.563;-50.2769
47.4;121.84;-50.4643
47.3;122.116;-50.6516
47.2;122.392;-50.839
47.1;122.666;-51.0262
47.0;122.94;-51.2135
46.9;123.212;-51.4007
46.8;123.484;-51.5879
46.7;123.755;-51.7751
46.6;124.025;-51.9623
46.5;124.294;-52.1495
46.4;124.562;-52.3366
46.3;124.829;-52.5238
46.2;125.096;-52.7109
46.1;125.362;-52.8981
46.0;125.627;-53.0852
45.9;125.891;-53.2724
45.8;126.154;-53.4595
45.7;126.417;-53.6467
45.6;126.679;-53.8338
45.5;126.94;-54.021
45.4;127.2;-54.2082
45.3;127.459;-54.3954
45.2;127.718;-54.5826
45.1;127.976;-54.7699
45.0;128.233;-54.9571
44.9;128.49;-55.1444
44.8;128.746;-55.3317
44.7;129.001;-55.5191
44.6;129.255;-55.7064
44.5;129.509;-55.8938
44.4;129.762;-56.0813
44.3;130.014;-56.2687
44.2;130.265;-56.4562
44.1;130.516;-56.6438
44.0;130.767;-56.8313
43.9;131.016;-57.0189
43.8;131.265;-57.2066
43.7;131.513;-57.3943
43.6;131.761;-57.582
43.5;132.008;-57.7698
43.4;132.254;-57.9576
43.3;132.5;-58.1455
43.2;132.745;-58.3335
43.1;132.989;-58.5215
43.0;133.233;-58.7095
42.9;133.477;-58.8976
42.8;133.719;-59.0858
42.7;133.961;-59.274
42.6;134.203;-59.4623
42.5;134.443;-59.6506
42.4;134.684;-59.839
42.3;134.923;-60.0274
42.2;135.162;-60.216
42.1;135.401;-60.4046
42.0;135.639;-60.5932
41.9;135.876;-60.7819
41.8;136.113;-60.9707
41.7;136.349;-61.1596
41.6;136.585;-61.3485
41.5;136.82;-61.5375
41.4;137.055;-61.7266
41.3;137.289;-61.9158
41.2;137.523;-62.105
41.1;137.756;-62.2943
41.0;137.988;-62.4837
40.9;138.22;-62.6732
40.8;138.451;-62.8627
40.7;138.682;-63.0524
40.6;138.913;-63.2421
40.5;139.143;-63.4319
40.4;139.372;-63.6218
40.3;139.601;-63.8118
40.2;139.83;-64.0018
40.1;140.058;-64.192
40.0;140.285;-64.3822
39.9;140.512;-64.5725
39.8;140.739;-64.7629
39.7;140.965;-64.9534
39.6;141.19;-65.144
39.5;141.415;-65.3347
39.4;141.64;-65.5255
39.3;141.864;-65.7164
39.2;142.088;-65.9074
39.1;142.311;-66.0985
39.0;142.534;-66.2896
38.9;142.756;-66.4809
38.8;142.978;-66.6723
38.7;143.2;-66.8637
38.6;143.42;-67.0553
38.5;143.641;-67.247
38.4;143.861;-67.4388
38.3;144.081;-67.6306
38.2;144.3;-67.8226
38.1;144.519;-68.0147
38.0;144.737;-68.2069
37.9;144.955;-68.3992
37.8;145.173;-68.5916
37.7;145.39;-68.7841
37.6;145.607;-68.9768
37.5;145.823;-69.1695
