gamma;w;alpha_c
5.091;6.733007;-6.63828
5.0;9.844549;-10.8706
4.9;11.09783;-12.8973
4.8;11.99116;-14.4519
4.7;12.71327;-15.7775
4.6;13.33164;-16.9638
4.5;13.87913;-18.0553
4.4;14.37457;-19.0779
4.3;14.82986;-20.0483
4.2;15.2531;-20.9778
4.1;15.65001;-21.8745
4.0;16.02489;-22.7446
3.9;16.38095;-23.5927
3.8;16.72077;-24.4225
3.7;17.04635;-25.237
3.6;17.35937;-26.0385
3.5;17.66118;-26.829
3.4;17.95294;-27.6103
3.3;18.23559;-28.3836
3.2;18.50998;-29.1503
3.1;18.77681;-29.9115
3.0;19.03668;-30.6679
2.9;19.29016;-31.4204
2.8;19.5377;-32.1697
2.7;19.77973;-32.9164
2.6;20.01662;-33.6612
2.5;20.2487;-34.4044
2.4;20.47629;-35.1466
2.3;20.69964;-35.8881
2.2;20.91901;-36.6294
2.1;21.13461;-37.3707
2.0;21.34665;-38.1124
1.9;21.55532;-38.8547
1.8;21.76078;-39.598
1.7;21.96319;-40.3425
1.6;22.1627;-41.0883
1.5;22.35945;-41.8357
1.4;22.55355;-42.5849
1.3;22.74512;-43.3361
1.2;22.93425;-44.0895
1.1;23.12108;-44.8451
1.0;23.30567;-45.6032
0.9;23.48811;-46.3639
0.8;23.6685;-47.1274
0.7;23.8469;-47.8936
0.6;24.02339;-48.6629
0.5;24.19803;-49.4353
0.4;24.37089;-50.2109
0.3;24.54203;-50.9898
0.2;24.71151;-51.7721
0.1;24.87937;-52.5579
0.0;25.046;-53.347
-0.1;25.21047;-54.1403
-0.2;25.3738;-54.9372
-0.3;25.5357;-55.7379
-0.4;25.69623;-56.5425
-0.5;25.85542;-57.3511
-0.6;26.01331;-58.1638
-0.7;26.16992;-58.9806
-0.8;26.32531;-59.8017
-0.9;26.47949;-60.627
-1.0;26.6325;-61.4567
-1.1;26.78438;-62.2908
-1.2;26.93515;-63.1293
-1.3;27.08484;-63.9724
-1.4;27.23346;-64.8201
-1.5;27.38106;-65.6724
-1.6;27.52765;-66.5294
-1.7;27.67326;-67.3911
-1.8;27.81791;-68.2576
-1.9;27.96162;-69.129
-2.0;28.1044;-70.0054
-2.1;28.2463;-70.8866
-2.2;28.3873;-71.7729
-2.3;28.52746;-72.6642
-2.4;28.66676;-73.5607
-2.5;28.80525;-74.4622
-2.6;28.94292;-75.369
-2.7;29.0798;-76.281
-2.8;29.21591;-77.1983
-2.9;29.35125;-78.1209
-3.0;29.48584;-79.0489
-3.1;29.61971;-79.9823
-3.2;29.75285;-80.9212
-3.3;29.88528;-81.8656
-3.4;30.01703;-82.8155
-3.5;30.14809;-83.771
-3.6;30.27848;-84.7321
-3.7;30.40821;-85.6989
-3.8;30.5373;-86.6714
-3.9;30.66576;-87.6496
-4.0;30.79359;-88.6336
-4.1;30.9208;-89.6234
