gamma;w;alpha_c
5.091;6.363;-6.217
5.09;5.999;-5.822
5.08;4.868;-4.719
5.07;4.116;-4.096
5.06;3.421;-3.606
5.05;2.7;-3.186
5.04;1.844;-2.812
