gamma;w;alpha_c
6.497;12.12;-13.916
6.4;14.209;-17.02
6.3;15.063;-18.378
6.2;15.715;-19.458
6.1;16.265;-20.401
6.0;16.75;-21.26
5.9;17.19;-22.062
5.8;17.595;-22.822
5.7;17.974;-23.551
5.6;18.331;-24.255
5.5;18.67;-24.94
5.4;18.993;-25.61
5.3;19.303;-26.266
5.2;19.602;-26.912
5.1;19.89;-27.55
5.0;20.169;-28.18
4.9;20.44;-28.804
4.8;20.704;-29.424
4.7;20.96;-30.039
4.6;21.211;-30.651
4.5;21.456;-31.26
4.4;21.695;-31.868
4.3;21.93;-32.473
4.2;22.16;-33.078
4.1;22.386;-33.681
4.0;22.608;-34.285
3.9;22.826;-34.888
3.8;23.04;-35.491
3.7;23.252;-36.095
3.6;23.46;-36.699
3.5;23.665;-37.304
3.4;23.867;-37.911
3.3;24.066;-38.518
3.2;24.263;-39.127
3.1;24.458;-39.738
3.0;24.65;-40.35
2.9;24.839;-40.964
2.8;25.027;-41.58
2.7;25.213;-42.198
2.6;25.396;-42.818
2.5;25.578;-43.44
2.4;25.758;-44.065
2.3;25.936;-44.692
2.2;26.119;-45.322
2.1;26.286;-45.954
2.0;26.459;-46.59
1.9;26.631;-47.227
1.8;26.801;-47.868
1.7;26.969;-48.512
1.6;27.136;-49.158
1.5;27.302;-49.808
1.4;27.466;-50.46
1.3;27.63;-51.116
1.2;27.791;-51.775
1.1;27.952;-52.438
1.0;28.111;-53.103
0.9;28.27;-53.772
0.8;28.427;-54.445
0.7;28.583;-55.12
0.6;28.738;-55.8
0.5;28.891;-56.482
0.4;29.044;-57.169
0.3;29.196;-57.859
0.2;29.347;-58.552
0.1;29.497;-59.249
0.0;29.646;-59.95
-0.1;29.794;-60.66
-0.2;29.941;-61.364
-0.3;30.088;-62.076
-0.4;30.233;-62.792
-0.5;30.378;-63.512
-0.6;30.522;-64.236
-0.7;30.665;-64.964
-0.8;30.807;-65.696
-0.9;30.948;-66.432
-1.0;31.089;-67.173
-1.1;31.229;-67.917
-1.2;31.368;-68.665
-1.3;31.507;-69.418
-1.4;31.645;-70.174
-1.5;31.782;-70.935
-1.6;31.918;-71.7
-1.7;32.054;-72.47
-1.8;32.189;-73.243
-1.9;32.324;-74.021
-2.0;32.458;-74.804
-2.1;32.591;-75.59
-2.2;32.723;-76.381
-2.3;32.855;-77.177
-2.4;32.987;-77.977
-2.5;33.118;-78.78
-2.6;33.248;-79.59
-2.7;33.378;-80.404
-2.8;33.507;-81.222
-2.9;33.636;-82.045
-3.0;33.764;-82.872
-3.1;33.891;-83.704
-3.2;34.018;-84.541
-3.3;34.145;-85.382
-3.4;34.271;-86.228
-3.5;34.396;-87.079
-3.6;34.521;-87.934
-3.7;34.646;-88.795
-3.8;34.77;-89.66
-3.9;34.893;-90.53
-4.0;35.016;-91.405
-4.1;35.139;-92.284
