gamma;w;alpha_f
6.49705811;12.170777;-13.987908
6.49705;12.151955;-13.961073
6.497;12.12;-13.916
6.4;10.014;-11.025
6.3;9.02;-9.733
6.2;8.208;-8.715
6.1;7.473;-7.831
6.0;6.772;-7.026
5.9;6.079;-6.274
5.8;5.371;-5.56
5.7;4.622;-4.872
5.6;3.791;-4.205
5.5;2.79;-3.552
5.4;1.239;-2.911
5.38;0.566;-2.782
5.375;0.135;-2.751
5.3749;0.11;-2.751
5.3748;0.078;-2.75
5.3747;0.009;-2.75
