gamma;w;alpha_c
4.161;0.109;-1.85
4.16;0.217;-1.855
4.1;1.395;-2.013
4.0;2.262;-2.282
3.9;2.88;-2.557
3.8;3.387;-2.838
3.7;3.828;-3.126
3.6;4.224;-3.42
3.5;4.587;-3.72
3.4;4.923;-4.028
3.3;5.238;-4.342
3.2;5.535;-4.662
3.1;5.818;-4.989
3.0;6.088;-5.324
2.9;6.347;-5.665
2.8;6.596;-6.013
2.7;6.836;-6.369
2.6;7.068;-6.731
2.5;7.293;-7.101
2.4;7.512;-7.479
2.3;7.725;-7.863
2.2;7.932;-8.256
2.1;8.134;-8.656
2.0;8.332;-9.063
1.9;8.525;-9.479
1.8;8.714;-9.902
1.7;8.899;-10.334
1.6;9.081;-10.773
1.5;9.259;-11.221
1.4;9.434;-11.677
1.3;9.607;-12.141
1.2;9.776;-12.614
1.1;9.942;-13.095
1.0;10.107;-13.584
0.9;10.268;-14.083
0.8;10.427;-14.59
0.7;10.584;-15.107
0.6;10.739;-15.632
0.5;10.892;-16.166
0.4;11.043;-16.71
0.3;11.192;-17.263
0.2;11.339;-17.825
0.1;11.485;-18.397
0.0;11.628;-18.978
-0.1;11.771;-19.569
-0.2;11.911;-20.17
-0.3;12.05;-20.78
-0.4;12.188;-21.401
-0.5;12.324;-22.032
-0.6;12.459;-22.673
-0.7;12.593;-23.324
-0.8;12.725;-23.986
-0.9;12.856;-24.658
-1.0;12.986;-25.341
-1.1;13.115;-26.034
-1.2;13.242;-26.739
-1.3;13.369;-27.454
-1.4;13.494;-28.181
-1.5;13.618;-28.918
-1.6;13.742;-29.667
-1.7;13.864;-30.428
-1.8;13.985;-31.199
-1.9;14.106;-31.983
-2.0;14.225;-32.778
-2.1;14.344;-33.585
-2.2;14.462;-34.404
-2.3;14.578;-35.236
-2.4;14.695;-36.079
-2.5;14.81;-36.935
-2.6;14.924;-37.803
-2.7;15.038;-38.684
-2.8;15.151;-39.577
-2.9;15.263;-40.483
-3.0;15.374;-41.403
-3.1;15.485;-42.335
-3.2;15.595;-43.281
-3.3;15.705;-44.239
-3.4;15.813;-45.212
-3.5;15.921;-46.198
-3.6;16.029;-47.197
-3.7;16.135;-48.211
-3.8;16.242;-49.238
-3.9;16.347;-50.28
-4.0;16.452;-51.335
-4.1;16.556;-52.405
