gamma;w;alpha_c
12.467312024;11.714352;-11.588376
12.46731;11.721557;-11.592705
12.4673;11.732106;-11.599048
12.467;11.8056;-11.6434
12.4;13.1275;-12.4927
12.3;14.0103;-13.1183
12.2;14.6773;-13.6243
12.1;15.2455;-14.0788
12.0;15.7532;-14.504
11.9;16.2191;-14.9101
11.8;16.6534;-15.3031
11.7;17.063;-15.6865
11.6;17.4524;-16.0629
11.5;17.825;-16.4338
11.4;18.183;-16.8007
11.3;18.5286;-17.1646
11.2;18.8632;-17.5261
11.1;19.1879;-17.8859
11.0;19.5038;-18.2444
10.9;19.8117;-18.602
10.8;20.1124;-18.9592
10.7;20.4064;-19.3161
10.6;20.6942;-19.6731
10.5;20.9764;-20.0303
10.4;21.2532;-20.3879
10.3;21.5251;-20.746
10.2;21.7924;-21.1049
10.1;22.0553;-21.4646
10.0;22.3141;-21.8252
9.9;22.569;-22.1868
9.8;22.8202;-22.5496
9.7;23.0679;-22.9135
9.6;23.3124;-23.2787
9.5;23.5536;-23.6452
9.4;23.7918;-24.0132
9.3;24.0271;-24.3826
9.2;24.2597;-24.7535
9.1;24.4896;-25.1259
9.0;24.7169;-25.4999
8.9;24.9418;-25.8755
8.8;25.1644;-26.2528
8.7;25.3846;-26.6318
8.6;25.6027;-27.0125
8.5;25.8186;-27.395
8.4;26.0325;-27.7793
8.3;26.2444;-28.1654
8.2;26.4544;-28.5534
8.1;26.6626;-28.9432
8.0;26.8689;-29.3349
7.9;27.0735;-29.7286
7.8;27.2764;-30.1242
7.7;27.4776;-30.5217
7.6;27.6772;-30.9212
7.5;27.8753;-31.3228
7.4;28.0719;-31.7263
7.3;28.2669;-32.1319
7.2;28.4606;-32.5395
7.1;28.6528;-32.9492
7.0;28.8436;-33.361
6.9;29.0331;-33.7749
6.8;29.2213;-34.1909
6.7;29.4083;-34.609
6.6;29.594;-35.0293
6.5;29.7784;-35.4518
6.4;29.9617;-35.8764
6.3;30.1438;-36.3032
6.2;30.3247;-36.7322
6.1;30.5046;-37.1634
6.0;30.6833;-37.5969
5.9;30.861;-38.0326
5.8;31.0376;-38.4705
5.7;31.2132;-38.9107
5.6;31.3878;-39.3532
5.5;31.5614;-39.7979
5.4;31.734;-40.245
5.3;31.9057;-40.6944
5.2;32.0764;-41.1461
5.1;32.2462;-41.6001
5.0;32.4152;-42.0565
4.9;32.5832;-42.5152
4.8;32.7503;-42.9762
4.7;32.9166;-43.4397
4.6;33.0821;-43.9055
4.5;33.2467;-44.3738
4.4;33.4105;-44.8444
4.3;33.5735;-45.3174
4.2;33.7357;-45.7929
4.1;33.8972;-46.2708
4.0;34.0579;-46.7512
3.9;34.2178;-47.234
3.8;34.377;-47.7193
3.7;34.5355;-48.207
3.6;34.6932;-48.6973
3.5;34.8502;-49.19
3.4;35.0066;-49.6853
3.3;35.1622;-50.183
3.2;35.3172;-50.6833
3.1;35.4715;-51.1861
3.0;35.6252;-51.6914
2.9;35.7782;-52.1993
2.8;35.9306;-52.7098
2.7;36.0823;-53.2228
2.6;36.2334;-53.7384
2.5;36.3839;-54.2566
2.4;36.5338;-54.7774
2.3;36.6831;-55.3008
2.2;36.8318;-55.8268
2.1;36.98;-56.3555
2.0;37.1275;-56.8868
1.9;37.2745;-57.4207
1.8;37.4209;-57.9573
1.7;37.5668;-58.4966
1.6;37.7121;-59.0385
1.5;37.8569;-59.5831
1.4;38.0012;-60.1304
1.3;38.1449;-60.6805
1.2;38.2881;-61.2332
1.1;38.4308;-61.7886
1.0;38.573;-62.3467
0.9;38.7147;-62.9077
0.8;38.8558;-63.4713
0.7;38.9965;-64.0378
0.6;39.1367;-64.6069
0.5;39.2765;-65.1789
0.4;39.4157;-65.7536
0.3;39.5545;-66.3311
0.2;39.6928;-66.9115
0.1;39.8307;-67.4946
0.0;39.968;-68.081
-0.1;40.1051;-68.6694
-0.2;40.2415;-69.2609
-0.3;40.3776;-69.8554
-0.4;40.5133;-70.4528
-0.5;40.6485;-71.0531
-0.6;40.7832;-71.6562
-0.7;40.9176;-72.262
-0.8;41.0515;-72.8709
-0.9;41.185;-73.4827
-1.0;41.3182;-74.0974
-1.1;41.4509;-74.715
-1.2;41.5832;-75.3356
-1.3;41.7151;-75.9591
-1.4;41.8466;-76.5855
-1.5;41.9777;-77.2149
-1.6;42.1084;-77.8472
-1.7;42.2388;-78.4826
-1.8;42.3688;-79.1209
-1.9;42.4984;-79.7623
-2.0;42.6276;-80.4066
-2.1;42.7565;-81.054
-2.2;42.885;-81.7044
-2.3;43.0131;-82.3578
-2.4;43.1409;-83.0142
-2.5;43.2683;-83.6738
-2.6;43.3954;-84.3364
-2.7;43.5221;-85.0021
-2.8;43.6485;-85.6709
-2.9;43.7745;-86.3427
-3.0;43.9002;-87.0177
-3.1;44.0255;-87.6957
-3.2;44.1505;-88.3769
-3.3;44.2752;-89.0612
-3.4;44.3996;-89.7486
-3.5;44.5236;-90.4393
-3.6;44.6473;-91.133
-3.7;44.7707;-91.83
-3.8;44.8938;-92.5301
-3.9;45.0165;-93.2334
-4.0;45.139;-93.94
-4.1;45.2611;-94.6497
