gamma;w;alpha_f
12.467312024;11.714092;-11.58822
12.46731;11.706891;-11.583897
12.4673;11.696364;-11.57758
12.467;11.6235;-11.534
12.4;10.4539;-10.8698
12.3;9.79624;-10.5202
12.2;9.35181;-10.2901
12.1;9.00356;-10.1113
12.0;8.71312;-9.96176
11.9;8.46203;-9.83105
11.8;8.23971;-9.71334
11.7;8.03944;-9.60496
11.6;7.85666;-9.50342
11.5;7.68803;-9.40699
11.4;7.53102;-9.31442
11.3;7.38381;-9.2246
11.2;7.24479;-9.13685
11.1;7.11277;-9.05044
11.0;6.98662;-8.96504
10.9;6.86552;-8.8802
10.8;6.74883;-8.7953
10.7;6.63578;-8.7104
10.6;6.52588;-8.62504
10.5;6.41864;-8.5389
10.4;6.31357;-8.45247
10.3;6.21035;-8.3642
10.2;6.10856;-8.27508
10.1;6.00788;-8.18453
10.0;5.90801;-8.09261
9.9;5.80866;-7.99916
9.8;5.70956;-7.90401
9.7;5.61051;-7.80732
9.6;5.51109;-7.70833
9.5;5.41124;-7.60773
9.4;5.31062;-7.50498
9.3;5.20898;-7.40004
9.2;5.10614;-7.29301
9.1;5.0018;-7.18368
9.0;4.89572;-7.07204
8.9;4.78772;-6.95819
8.8;4.67732;-6.84169
8.7;4.56434;-6.72267
8.6;4.44855;-6.60132
8.5;4.32947;-6.47729
8.4;4.20669;-6.35055
8.3;4.07992;-6.22126
8.2;3.94845;-6.08906
8.1;3.81185;-5.95413
8.0;3.66941;-5.81637
7.9;3.52029;-5.6757
7.8;3.36358;-5.53214
7.7;3.19799;-5.38558
7.6;3.0221;-5.23609
7.5;2.83361;-5.08338
7.4;2.63014;-4.92775
7.3;2.40748;-4.76893
7.2;2.15965;-4.60689
7.1;1.87668;-4.44166
7.0;1.53904;-4.27312
6.9;1.09744;-4.10132
6.8;0.169529;-3.9262
6.798;0.072;-3.923
6.7979;0.063;-3.922
6.7978;0.053;-3.922
6.7977;0.04;-3.922
6.7976;0.02;-3.922
6.79757;0.0061894969;-3.9219053
6.797566844;0.001004545;-3.9218997
