gamma;w;alpha_c
17.76253779;0.000422396724;-6.77118124
17.7625377;0.00232470075;-6.77118136
17.762537;0.00678591836;-6.77118229
17.76253;0.0212720332;-6.77119162
17.7625;0.046845041;-6.77123163
17.762;0.176724411;-6.77189851
17.76;0.38811;-6.7746
17.7;1.9227;-6.8557
17.6;3.1401;-6.9952
17.5;4.0446;-7.1406
17.4;4.8166;-7.292
17.3;5.5124;-7.4497
17.2;6.1585;-7.6138
17.1;6.7686;-7.7843
17.0;7.3512;-7.9612
16.9;7.9118;-8.1444
16.8;8.4537;-8.3337
16.7;8.9795;-8.5289
16.6;9.4911;-8.7298
16.5;9.9893;-8.9361
16.4;10.475;-9.1476
16.3;10.95;-9.3638
16.2;11.414;-9.5846
16.1;11.868;-9.8098
16.0;12.311;-10.039
15.9;12.746;-10.272
15.8;13.171;-10.509
15.7;13.588;-10.749
15.6;13.996;-10.992
15.5;14.397;-11.239
15.4;14.79;-11.488
15.3;15.175;-11.74
15.2;15.554;-11.995
15.1;15.926;-12.253
15.0;16.291;-12.513
14.9;16.65;-12.775
14.8;17.004;-13.04
14.7;17.351;-13.307
14.6;17.693;-13.576
14.5;18.03;-13.847
14.4;18.361;-14.12
14.3;18.688;-14.395
14.2;19.01;-14.673
14.1;19.328;-14.952
14.0;19.641;-15.233
13.9;19.949;-15.516
13.8;20.254;-15.801
13.7;20.555;-16.088
13.6;20.852;-16.377
13.5;21.145;-16.667
13.4;21.435;-16.959
13.3;21.721;-17.253
13.2;22.004;-17.549
13.1;22.284;-17.847
13.0;22.561;-18.146
12.9;22.834;-18.447
12.8;23.105;-18.75
12.7;23.373;-19.054
12.6;23.638;-19.361
12.5;23.9;-19.669
12.4;24.16;-19.978
12.3;24.417;-20.289
12.2;24.672;-20.602
12.1;24.924;-20.917
12.0;25.174;-21.234
11.9;25.421;-21.552
11.8;25.667;-21.871
11.7;25.91;-22.193
11.6;26.151;-22.516
11.5;26.39;-22.841
11.4;26.627;-23.167
11.3;26.862;-23.495
11.2;27.096;-23.825
11.1;27.327;-24.157
11.0;27.556;-24.49
10.9;27.784;-24.825
10.8;28.01;-25.162
10.7;28.234;-25.5
10.6;28.457;-25.84
10.5;28.678;-26.182
10.4;28.897;-26.525
10.3;29.115;-26.871
10.2;29.331;-27.217
10.1;29.546;-27.566
10.0;29.759;-27.916
9.9;29.971;-28.268
9.8;30.181;-28.622
9.7;30.39;-28.978
9.6;30.598;-29.335
9.5;30.804;-29.694
9.4;31.009;-30.054
9.3;31.212;-30.417
9.2;31.415;-30.781
9.1;31.616;-31.147
9.0;31.816;-31.514
8.9;32.015;-31.884
8.8;32.212;-32.255
8.7;32.409;-32.628
8.6;32.604;-33.002
8.5;32.799;-33.379
8.4;32.992;-33.757
8.3;33.184;-34.137
8.2;33.375;-34.519
8.1;33.565;-34.902
8.0;33.754;-35.288
7.9;33.941;-35.675
7.8;34.128;-36.064
7.7;34.314;-36.455
7.6;34.499;-36.847
7.5;34.683;-37.242
7.4;34.866;-37.638
7.3;35.049;-38.036
7.2;35.23;-38.436
7.1;35.41;-38.838
7.0;35.59;-39.241
6.9;35.769;-39.647
6.8;35.946;-40.054
6.7;36.123;-40.463
6.6;36.3;-40.874
6.5;36.475;-41.287
6.4;36.649;-41.701
6.3;36.823;-42.118
6.2;36.996;-42.536
6.1;37.168;-42.957
6.0;37.34;-43.379
5.9;37.51;-43.803
5.8;37.68;-44.229
5.7;37.849;-44.657
5.6;38.018;-45.087
5.5;38.186;-45.519
5.4;38.353;-45.952
5.3;38.519;-46.388
5.2;38.685;-46.826
5.1;38.85;-47.265
5.0;39.014;-47.707
4.9;39.178;-48.15
4.8;39.341;-48.595
4.7;39.503;-49.042
4.6;39.665;-49.492
4.5;39.826;-49.943
4.4;39.987;-50.396
4.3;40.146;-50.851
4.2;40.306;-51.308
4.1;40.464;-51.768
4.0;40.622;-52.229
3.9;40.78;-52.692
3.8;40.937;-53.157
3.7;41.093;-53.624
3.6;41.249;-54.093
3.5;41.404;-54.565
3.4;41.559;-55.038
3.3;41.713;-55.513
3.2;41.867;-55.99
3.1;42.02;-56.47
3.0;42.172;-56.951
2.9;42.324;-57.435
2.8;42.476;-57.92
2.7;42.627;-58.408
2.6;42.777;-58.898
2.5;42.927;-59.389
2.4;43.076;-59.883
2.3;43.225;-60.379
2.2;43.374;-60.877
2.1;43.522;-61.377
2.0;43.669;-61.88
1.9;43.816;-62.384
1.8;43.963;-62.89
1.7;44.109;-63.399
1.6;44.255;-63.91
1.5;44.4;-64.423
1.4;44.544;-64.938
1.3;44.689;-65.455
1.2;44.833;-65.974
1.1;44.976;-66.496
1.0;45.119;-67.019
0.9;45.261;-67.545
0.8;45.404;-68.073
0.7;45.545;-68.603
0.6;45.686;-69.136
0.5;45.827;-69.67
0.4;45.968;-70.207
0.3;46.108;-70.746
0.2;46.247;-71.287
0.1;46.387;-71.831
0.0;46.526;-72.376
-0.1;46.664;-72.924
-0.2;46.802;-73.475
-0.3;46.94;-74.027
-0.4;47.077;-74.581
-0.5;47.214;-75.138
-0.6;47.35;-75.697
-0.7;47.487;-76.259
-0.8;47.622;-76.823
-0.9;47.758;-77.389
-1.0;47.893;-77.957
-1.1;48.028;-78.527
-1.2;48.162;-79.1
-1.3;48.296;-79.675
-1.4;48.43;-80.253
-1.5;48.563;-80.833
-1.6;48.696;-81.415
-1.7;48.829;-81.999
-1.8;48.961;-82.586
-1.9;49.093;-83.175
-2.0;49.224;-83.766
-2.1;49.356;-84.36
-2.2;49.487;-84.957
-2.3;49.617;-85.555
-2.4;49.747;-86.156
-2.5;49.877;-86.759
-2.6;50.007;-87.365
-2.7;50.136;-87.973
-2.8;50.265;-88.584
-2.9;50.394;-89.197
-3.0;50.522;-89.812
-3.1;50.651;-90.43
-3.2;50.778;-91.05
-3.3;50.906;-91.672
-3.4;51.033;-92.297
-3.5;51.16;-92.925
-3.6;51.286;-93.555
-3.7;51.413;-94.187
-3.8;51.539;-94.822
-3.9;51.664;-95.459
-4.0;51.79;-96.099
-4.1;51.915;-96.741
