gamma;w;alpha_c
4.1;37.023;-48.908
4.0;37.181;-49.378
3.9;37.339;-49.85
3.8;37.497;-50.325
3.7;37.653;-50.801
3.6;37.809;-51.28
3.5;37.965;-51.762
3.4;38.12;-52.245
3.3;38.274;-52.731
3.2;38.427;-53.219
3.1;38.581;-53.71
3.0;38.733;-54.202
2.9;38.885;-54.697
2.8;39.036;-55.195
2.7;39.187;-55.694
2.6;39.337;-56.196
2.5;39.487;-56.701
2.4;39.636;-57.208
2.3;39.785;-57.717
2.2;39.933;-58.228
2.1;40.08;-58.742
2.0;40.227;-59.258
1.9;40.374;-59.777
1.8;40.52;-60.298
1.7;40.665;-60.821
1.6;40.811;-61.347
1.5;40.955;-61.875
1.4;41.099;-62.406
1.3;41.243;-62.939
1.2;41.386;-63.474
1.1;41.529;-64.012
1.0;41.671;-64.553
0.9;41.812;-65.095
0.8;41.954;-65.641
0.7;42.095;-66.188
0.6;42.235;-66.739
0.5;42.375;-67.291
0.4;42.514;-67.847
0.3;42.654;-68.404
0.2;42.792;-68.964
0.1;42.93;-69.527
0.0;43.068;-70.092
-0.1;43.206;-70.66
-0.2;43.343;-71.231
-0.3;43.479;-71.803
-0.4;43.615;-72.379
-0.5;43.751;-72.957
-0.6;43.887;-73.537
-0.7;44.022;-74.121
-0.8;44.156;-74.706
-0.9;44.29;-75.295
-1.0;44.424;-75.885
-1.1;44.558;-76.479
-1.2;44.691;-77.075
-1.3;44.824;-77.674
-1.4;44.956;-78.275
-1.5;45.088;-78.879
-1.6;45.219;-79.486
-1.7;45.351;-80.095
-1.8;45.482;-80.707
-1.9;45.612;-81.322
-2.0;45.742;-81.939
-2.1;45.872;-82.559
-2.2;46.002;-83.181
-2.3;46.131;-83.807
-2.4;46.26;-84.435
-2.5;46.388;-85.065
-2.6;46.516;-85.699
-2.7;46.644;-86.335
-2.8;46.772;-86.974
-2.9;46.899;-87.615
-3.0;47.026;-88.26
-3.1;47.152;-88.907
-3.2;47.279;-89.557
-3.3;47.405;-90.21
-3.4;47.53;-90.865
-3.5;47.656;-91.523
-3.6;47.781;-92.184
-3.7;47.905;-92.848
-3.8;48.03;-93.515
-3.9;48.154;-94.184
-4.0;48.277;-94.857
-4.1;48.401;-95.532
