gamma;w;alpha_f
14.738425799;7.9320798;-9.0472563
14.7384;7.9022025;-9.0374104
14.738;7.81076;-9.0076
14.7;6.8369;-8.7159
14.6;5.97185;-8.49662
14.5;5.467;-8.38543
14.4;5.10152;-8.31221
14.3;4.817;-8.25902
14.2;4.58729;-8.21809
14.1;4.39791;-8.18526
14.0;4.23974;-8.15801
13.9;4.10654;-8.13469
13.8;3.99378;-8.11415
13.7;3.89804;-8.09554
13.6;3.8166;-8.07825
13.5;3.7473;-8.06178
13.4;3.68832;-8.04574
13.3;3.63814;-8.02984
13.2;3.5955;-8.01381
13.1;3.55926;-7.99744
13.0;3.5285;-7.98054
12.9;3.50236;-7.96298
12.8;3.4801;-7.9446
12.7;3.4611;-7.9253
12.6;3.4448;-7.90496
12.5;3.43066;-7.88351
12.4;3.41824;-7.86085
12.3;3.40716;-7.83692
12.2;3.39706;-7.81163
12.1;3.38762;-7.78494
12.0;3.37854;-7.75678
11.9;3.36958;-7.7271
11.8;3.3605;-7.69584
11.7;3.3511;-7.66295
11.6;3.34114;-7.62842
11.5;3.3305;-7.59217
11.4;3.31898;-7.55417
11.3;3.30644;-7.51438
11.2;3.29271;-7.47278
11.1;3.27769;-7.42932
11.0;3.26123;-7.38397
10.9;3.24323;-7.33667
10.8;3.22353;-7.28744
10.7;3.20205;-7.23618
10.6;3.17863;-7.18294
10.5;3.15318;-7.12765
10.4;3.12558;-7.07023
10.3;3.09568;-7.01076
10.2;3.06337;-6.94916
10.1;3.02852;-6.88518
10.0;2.99096;-6.8192
9.9;2.95056;-6.75112
9.8;2.90712;-6.68053
9.7;2.8605;-6.60783
9.6;2.81044;-6.53271
9.5;2.75676;-6.45534
9.4;2.6992;-6.37565
9.3;2.6374;-6.29347
9.2;2.5711;-6.20895
9.1;2.49985;-6.12196
9.0;2.4232;-6.03251
8.9;2.3406;-5.94061
8.8;2.2513;-5.84614
8.7;2.1545;-5.74917
8.6;2.0491;-5.64966
8.5;1.93359;-5.54752
8.4;1.80604;-5.44275
8.3;1.66364;-5.33533
8.2;1.50219;-5.22528
8.1;1.31459;-5.11252
8.0;1.08734;-4.99704
7.9;0.786783;-4.87882
7.8;0.195392;-4.75783
7.795;0.093;-4.7517
7.794;0.052;-4.75048
7.7939;0.047;-4.75036
7.7938;0.04;-4.75023
7.7937;0.031;-4.75011
7.7936;0.02;-4.74999
7.79354;0.0061864369;-4.7499145
7.793533692;0.001001755;-4.7499067
