gamma;w;alpha_c
72.35938055;67.8367155;-21.5079627
72.3593805;67.8393266;-21.5087082
72.35938;67.8481548;-21.5112288
72.3593;67.9919339;-21.55231
72.359;68.1761218;-21.6050176
72.35;69.534;-21.9964
72.3;72.1328;-22.7598
72.2;74.9207;-23.6002
72.1;76.9148;-24.2155
72.0;78.5615;-24.7329
71.9;80.0001;-25.1918
71.8;81.2967;-25.6111
71.7;82.4875;-26.001
71.6;83.5961;-26.3682
71.5;84.6382;-26.7171
71.4;85.6252;-27.0509
71.3;86.5653;-27.3719
71.2;87.4651;-27.682
71.1;88.3297;-27.9827
71.0;89.1632;-28.275
70.9;89.9688;-28.5598
70.8;90.7495;-28.8381
70.7;91.5076;-29.1104
70.6;92.2449;-29.3772
70.5;92.9635;-29.6392
70.4;93.6645;-29.8966
70.3;94.3495;-30.1498
70.2;95.0195;-30.3992
70.1;95.6756;-30.6451
70.0;96.3186;-30.8876
69.9;96.9494;-31.127
69.8;97.5686;-31.3636
69.7;98.1771;-31.5974
69.6;98.7753;-31.8287
69.5;99.3638;-32.0576
69.4;99.943;-32.2843
69.3;100.514;-32.5088
69.2;101.076;-32.7313
69.1;101.63;-32.9518
69.0;102.177;-33.1706
68.9;102.716;-33.3876
68.8;103.249;-33.603
68.7;103.774;-33.8168
68.6;104.294;-34.0291
68.5;104.807;-34.24
68.4;105.314;-34.4495
68.3;105.816;-34.6577
68.2;106.312;-34.8647
68.1;106.803;-35.0705
68.0;107.289;-35.2751
67.9;107.77;-35.4786
67.8;108.246;-35.681
67.7;108.717;-35.8824
67.6;109.184;-36.0829
67.5;109.647;-36.2823
67.4;110.105;-36.4809
67.3;110.559;-36.6786
67.2;111.01;-36.8755
67.1;111.456;-37.0715
67.0;111.899;-37.2668
66.9;112.338;-37.4612
66.8;112.773;-37.655
66.7;113.205;-37.848
66.6;113.634;-38.0404
66.5;114.059;-38.232
66.4;114.481;-38.4231
66.3;114.9;-38.6135
66.2;115.316;-38.8033
66.1;115.729;-38.9925
66.0;116.139;-39.1812
65.9;116.547;-39.3693
65.8;116.951;-39.5569
65.7;117.353;-39.7439
65.6;117.752;-39.9305
65.5;118.148;-40.1166
65.4;118.542;-40.3022
65.3;118.934;-40.4873
65.2;119.323;-40.672
65.1;119.709;-40.8563
65.0;120.094;-41.0401
64.9;120.476;-41.2236
64.8;120.855;-41.4066
64.7;121.233;-41.5893
64.6;121.608;-41.7716
64.5;121.982;-41.9535
64.4;122.353;-42.1351
64.3;122.722;-42.3163
64.2;123.089;-42.4972
64.1;123.454;-42.6778
64.0;123.817;-42.858
63.9;124.179;-43.038
63.8;124.538;-43.2176
63.7;124.895;-43.397
63.6;125.251;-43.5761
63.5;125.605;-43.7549
63.4;125.957;-43.9334
63.3;126.308;-44.1117
63.2;126.657;-44.2897
63.1;127.004;-44.4675
63.0;127.349;-44.645
62.9;127.693;-44.8223
62.8;128.035;-44.9994
62.7;128.376;-45.1763
62.6;128.715;-45.3529
62.5;129.053;-45.5293
62.4;129.389;-45.7056
62.3;129.724;-45.8816
62.2;130.057;-46.0575
62.1;130.389;-46.2331
62.0;130.719;-46.4086
61.9;131.048;-46.5839
61.8;131.376;-46.759
61.7;131.702;-46.934
61.6;132.027;-47.1088
61.5;132.35;-47.2834
61.4;132.672;-47.4579
61.3;132.993;-47.6322
61.2;133.313;-47.8064
61.1;133.632;-47.9805
61.0;133.949;-48.1544
60.9;134.265;-48.3281
60.8;134.58;-48.5018
60.7;134.893;-48.6753
60.6;135.206;-48.8487
60.5;135.517;-49.022
60.4;135.827;-49.1952
60.3;136.136;-49.3682
60.2;136.444;-49.5412
60.1;136.751;-49.7141
60.0;137.057;-49.8868
59.9;137.361;-50.0595
59.8;137.665;-50.232
59.7;137.967;-50.4045
59.6;138.269;-50.5769
59.5;138.569;-50.7492
59.4;138.868;-50.9213
59.3;139.167;-51.0935
59.2;139.464;-51.2655
59.1;139.761;-51.4375
59.0;140.056;-51.6094
58.9;140.351;-51.7813
58.8;140.644;-51.9531
58.7;140.937;-52.1247
58.6;141.228;-52.2964
58.5;141.519;-52.468
58.4;141.809;-52.6395
58.3;142.098;-52.811
58.2;142.386;-52.9824
58.1;142.673;-53.1538
58.0;142.959;-53.3251
57.9;143.245;-53.4964
57.8;143.529;-53.6677
57.7;143.813;-53.8388
57.6;144.096;-54.01
57.5;144.378;-54.1812
57.4;144.659;-54.3522
57.3;144.939;-54.5233
57.2;145.219;-54.6943
57.1;145.497;-54.8653
57.0;145.775;-55.0363
56.9;146.053;-55.2072
56.8;146.329;-55.3782
56.7;146.605;-55.549
56.6;146.879;-55.7199
56.5;147.154;-55.8908
56.4;147.427;-56.0616
56.3;147.699;-56.2324
56.2;147.971;-56.4032
56.1;148.242;-56.5741
56.0;148.513;-56.7449
55.9;148.782;-56.9156
55.8;149.052;-57.0864
55.7;149.32;-57.2572
55.6;149.587;-57.4279
55.5;149.854;-57.5987
55.4;150.12;-57.7695
55.3;150.386;-57.9403
55.2;150.651;-58.111
55.1;150.915;-58.2818
55.0;151.178;-58.4526
54.9;151.441;-58.6233
54.8;151.703;-58.7942
54.7;151.965;-58.9649
54.6;152.226;-59.1357
54.5;152.486;-59.3066
54.4;152.746;-59.4775
54.3;153.005;-59.6483
54.2;153.263;-59.8191
54.1;153.521;-59.99
54.0;153.778;-60.1609
53.9;154.035;-60.3318
53.8;154.291;-60.5027
53.7;154.546;-60.6737
53.6;154.801;-60.8447
53.5;155.055;-61.0157
53.4;155.308;-61.1867
53.3;155.561;-61.3578
53.2;155.814;-61.5288
53.1;156.066;-61.6999
53.0;156.317;-61.8711
52.9;156.568;-62.0422
52.8;156.818;-62.2134
52.7;157.068;-62.3846
52.6;157.317;-62.5559
52.5;157.565;-62.7272
52.4;157.813;-62.8985
52.3;158.061;-63.0699
52.2;158.307;-63.2413
52.1;158.554;-63.4127
52.0;158.8;-63.5842
51.9;159.045;-63.7557
51.8;159.29;-63.9272
51.7;159.534;-64.0988
51.6;159.778;-64.2705
51.5;160.021;-64.4422
51.4;160.264;-64.6139
51.3;160.506;-64.7857
51.2;160.748;-64.9575
51.1;160.989;-65.1293
51.0;161.23;-65.3012
50.9;161.47;-65.4732
50.8;161.71;-65.6451
50.7;161.95;-65.8173
50.6;162.188;-65.9893
50.5;162.427;-66.1615
50.4;162.665;-66.3337
50.3;162.902;-66.506
50.2;163.139;-66.6783
50.1;163.376;-66.8506
50.0;163.612;-67.0231
49.9;163.847;-67.1955
49.8;164.082;-67.368
49.7;164.317;-67.5407
49.6;164.551;-67.7133
49.5;164.785;-67.886
49.4;165.019;-68.0588
49.3;165.251;-68.2316
49.2;165.484;-68.4045
49.1;165.716;-68.5774
49.0;165.948;-68.7504
48.9;166.179;-68.9235
48.8;166.41;-69.0966
48.7;166.64;-69.2698
48.6;166.87;-69.443
48.5;167.099;-69.6164
48.4;167.328;-69.7898
48.3;167.557;-69.9632
48.2;167.785;-70.1367
48.1;168.013;-70.3103
48.0;168.241;-70.484
47.9;168.468;-70.6577
47.8;168.694;-70.8316
47.7;168.921;-71.0054
47.6;169.147;-71.1793
47.5;169.372;-71.3534
47.4;169.597;-71.5274
47.3;169.822;-71.7016
47.2;170.046;-71.8758
47.1;170.27;-72.0501
47.0;170.493;-72.2245
46.9;170.717;-72.3989
46.8;170.939;-72.5734
46.7;171.162;-72.748
46.6;171.384;-72.9227
46.5;171.605;-73.0974
46.4;171.827;-73.2723
46.3;172.048;-73.4472
46.2;172.268;-73.6221
46.1;172.488;-73.7972
46.0;172.708;-73.9723
45.9;172.928;-74.1475
45.8;173.147;-74.3229
45.7;173.366;-74.4982
45.6;173.584;-74.6736
45.5;173.802;-74.8492
45.4;174.02;-75.0248
45.3;174.237;-75.2005
45.2;174.454;-75.3763
45.1;174.671;-75.5523
45.0;174.887;-75.7281
44.9;175.103;-75.9042
44.8;175.319;-76.0803
44.7;175.534;-76.2566
44.6;175.749;-76.4329
44.5;175.963;-76.6092
44.4;176.178;-76.7857
44.3;176.392;-76.9623
44.2;176.605;-77.1389
44.1;176.819;-77.3156
44.0;177.032;-77.4924
43.9;177.244;-77.6693
43.8;177.457;-77.8462
43.7;177.669;-78.0234
43.6;177.88;-78.2006
43.5;178.092;-78.3778
43.4;178.303;-78.5552
43.3;178.514;-78.7326
43.2;178.724;-78.9101
43.1;178.934;-79.0877
43.0;179.144;-79.2655
42.9;179.354;-79.4434
42.8;179.563;-79.6211
42.7;179.772;-79.7991
42.6;179.98;-79.9772
42.5;180.189;-80.1554
42.4;180.397;-80.3338
42.3;180.604;-80.5122
42.2;180.812;-80.6906
42.1;181.019;-80.8692
42.0;181.226;-81.0478
41.9;181.432;-81.2266
41.8;181.638;-81.4055
41.7;181.844;-81.5844
41.6;182.05;-81.7634
41.5;182.255;-81.9426
41.4;182.461;-82.1219
41.3;182.665;-82.3012
41.2;182.87;-82.4806
41.1;183.074;-82.6601
41.0;183.278;-82.8398
40.9;183.482;-83.0196
40.8;183.685;-83.1994
40.7;183.888;-83.3794
40.6;184.091;-83.5593
40.5;184.294;-83.7396
40.4;184.496;-83.9198
40.3;184.698;-84.1001
40.2;184.9;-84.2805
40.1;185.101;-84.4611
40.0;185.302;-84.6418
39.9;185.503;-84.8226
39.8;185.704;-85.0033
39.7;185.904;-85.1843
39.6;186.104;-85.3653
39.5;186.304;-85.5465
39.4;186.504;-85.7279
39.3;186.703;-85.9092
39.2;186.902;-86.0908
39.1;187.101;-86.2723
39.0;187.3;-86.454
38.9;187.498;-86.6358
38.8;187.696;-86.8177
38.7;187.894;-86.9997
38.6;188.092;-87.1819
38.5;188.289;-87.3641
38.4;188.486;-87.5464
38.3;188.683;-87.7289
38.2;188.88;-87.9115
38.1;189.076;-88.094
38.0;189.272;-88.2769
37.9;189.468;-88.4597
37.8;189.663;-88.6428
37.7;189.859;-88.8259
37.6;190.054;-89.0091
37.5;190.249;-89.1924
37.4;190.443;-89.3758
37.3;190.638;-89.5594
37.2;190.832;-89.7429
37.1;191.026;-89.9268
37.0;191.219;-90.1106
36.9;191.413;-90.2947
36.8;191.606;-90.4787
36.7;191.799;-90.663
36.6;191.992;-90.8473
36.5;192.184;-91.0317
36.4;192.376;-91.2163
36.3;192.569;-91.401
36.2;192.76;-91.5858
36.1;192.952;-91.7706
36.0;193.143;-91.9555
35.9;193.334;-92.1407
35.8;193.525;-92.326
35.7;193.716;-92.5113
35.6;193.907;-92.6968
35.5;194.097;-92.8824
35.4;194.287;-93.0681
35.3;194.477;-93.2539
35.2;194.666;-93.4399
35.1;194.856;-93.6259
35.0;195.045;-93.8119
34.9;195.234;-93.9982
34.8;195.422;-94.1848
34.7;195.611;-94.3712
34.6;195.799;-94.5579
34.5;195.987;-94.7446
34.4;196.175;-94.9313
34.3;196.363;-95.1183
34.2;196.55;-95.3054
34.1;196.737;-95.4927
34.0;196.924;-95.6801
33.9;197.111;-95.8674
33.8;197.298;-96.0551
33.7;197.484;-96.2427
33.6;197.67;-96.4307
33.5;197.856;-96.6186
33.4;198.042;-96.8065
33.3;198.228;-96.9948
33.2;198.413;-97.183
33.1;198.598;-97.3715
33.0;198.783;-97.5599
32.9;198.968;-97.7487
32.8;199.152;-97.9374
32.7;199.337;-98.1263
32.6;199.521;-98.3153
32.5;199.705;-98.5046
32.4;199.889;-98.6938
32.3;200.072;-98.8832
32.2;200.255;-99.0727
32.1;200.439;-99.2623
32.0;200.621;-99.452
31.9;200.804;-99.642
31.8;200.987;-99.832
31.7;201.169;-100.022
31.6;201.351;-100.212
31.5;201.534;-100.403
31.4;201.715;-100.593
31.3;201.897;-100.784
31.2;202.078;-100.975
31.1;202.26;-101.166
31.0;202.441;-101.357
30.9;202.622;-101.548
30.8;202.802;-101.739
30.7;202.983;-101.93
30.6;203.163;-102.122
30.5;203.343;-102.314
30.4;203.523;-102.505
30.3;203.703;-102.697
30.2;203.882;-102.889
30.1;204.062;-103.081
30.0;204.241;-103.274
29.9;204.42;-103.466
29.8;204.599;-103.659
29.7;204.778;-103.851
29.6;204.956;-104.044
29.5;205.134;-104.237
29.4;205.313;-104.43
29.3;205.49;-104.623
29.2;205.668;-104.816
29.1;205.846;-105.01
29.0;206.023;-105.203
28.9;206.201;-105.397
28.8;206.378;-105.591
28.7;206.555;-105.785
28.6;206.731;-105.979
28.5;206.908;-106.173
28.4;207.084;-106.367
28.3;207.26;-106.562
28.2;207.436;-106.756
28.1;207.612;-106.951
28.0;207.788;-107.146
27.9;207.964;-107.341
27.8;208.139;-107.536
27.7;208.314;-107.731
27.6;208.489;-107.927
27.5;208.664;-108.122
27.4;208.839;-108.318
27.3;209.013;-108.514
27.2;209.187;-108.709
27.1;209.362;-108.906
27.0;209.536;-109.102
26.9;209.71;-109.298
26.8;209.883;-109.494
26.7;210.057;-109.691
26.6;210.23;-109.888
26.5;210.403;-110.085
26.4;210.577;-110.282
26.3;210.749;-110.479
26.2;210.922;-110.676
26.1;211.095;-110.873
26.0;211.267;-111.071
25.9;211.439;-111.268
25.8;211.611;-111.466
25.7;211.783;-111.664
25.6;211.955;-111.862
25.5;212.127;-112.06
25.4;212.298;-112.259
25.3;212.47;-112.457
25.2;212.641;-112.656
25.1;212.812;-112.855
25.0;212.982;-113.053
24.9;213.153;-113.252
24.8;213.324;-113.452
24.7;213.494;-113.651
24.6;213.664;-113.85
24.5;213.834;-114.05
24.4;214.004;-114.249
24.3;214.174;-114.449
24.2;214.344;-114.649
24.1;214.513;-114.849
24.0;214.682;-115.049
23.9;214.851;-115.25
23.8;215.021;-115.45
23.7;215.189;-115.651
23.6;215.358;-115.852
23.5;215.527;-116.053
23.4;215.695;-116.254
23.3;215.863;-116.455
23.2;216.031;-116.656
23.1;216.2;-116.858
23.0;216.367;-117.059
22.9;216.535;-117.261
22.8;216.703;-117.463
22.7;216.87;-117.665
22.6;217.037;-117.867
22.5;217.204;-118.069
22.4;217.371;-118.272
22.3;217.538;-118.475
22.2;217.705;-118.677
22.1;217.871;-118.88
22.0;218.038;-119.083
21.9;218.204;-119.286
21.8;218.37;-119.49
21.7;218.536;-119.693
21.6;218.702;-119.897
21.5;218.868;-120.1
21.4;219.033;-120.304
21.3;219.199;-120.508
21.2;219.364;-120.713
21.1;219.529;-120.917
21.0;219.694;-121.121
20.9;219.859;-121.326
20.8;220.024;-121.531
20.7;220.188;-121.735
20.6;220.353;-121.94
20.5;220.517;-122.145
20.4;220.681;-122.351
20.3;220.845;-122.556
20.2;221.009;-122.762
20.1;221.173;-122.967
20.0;221.337;-123.173
19.9;221.5;-123.38
19.8;221.663;-123.585
19.7;221.827;-123.792
19.6;221.99;-123.998
19.5;222.153;-124.205
19.4;222.315;-124.412
19.3;222.478;-124.618
19.2;222.641;-124.826
19.1;222.803;-125.033
19.0;222.966;-125.24
18.9;223.128;-125.447
18.8;223.29;-125.655
18.7;223.452;-125.863
18.6;223.614;-126.071
18.5;223.775;-126.279
18.4;223.937;-126.487
18.3;224.098;-126.695
18.2;224.259;-126.904
18.1;224.421;-127.112
18.0;224.582;-127.321
17.9;224.743;-127.53
17.8;224.903;-127.739
17.7;225.064;-127.948
17.6;225.225;-128.158
17.5;225.385;-128.367
17.4;225.545;-128.577
17.3;225.706;-128.787
17.2;225.865;-128.996
17.1;226.025;-129.207
17.0;226.185;-129.417
16.9;226.345;-129.627
16.8;226.505;-129.838
16.7;226.664;-130.049
16.6;226.823;-130.259
16.5;226.982;-130.47
16.4;227.141;-130.681
16.3;227.3;-130.893
16.2;227.459;-131.104
16.1;227.618;-131.316
16.0;227.776;-131.527
15.9;227.935;-131.74
15.8;228.093;-131.951
15.7;228.251;-132.164
15.6;228.409;-132.376
15.5;228.567;-132.588
15.4;228.725;-132.801
15.3;228.883;-133.014
15.2;229.041;-133.227
15.1;229.198;-133.44
15.0;229.355;-133.653
14.9;229.513;-133.866
14.8;229.67;-134.08
14.7;229.827;-134.293
14.6;229.984;-134.507
14.5;230.14;-134.721
14.4;230.297;-134.936
14.3;230.454;-135.15
14.2;230.61;-135.364
14.1;230.766;-135.579
14.0;230.923;-135.794
13.9;231.079;-136.008
13.8;231.235;-136.223
13.7;231.391;-136.439
13.6;231.547;-136.654
13.5;231.702;-136.869
13.4;231.858;-137.085
13.3;232.013;-137.301
13.2;232.169;-137.517
13.1;232.324;-137.733
13.0;232.479;-137.949
12.9;232.634;-138.166
12.8;232.789;-138.382
12.7;232.943;-138.599
12.6;233.098;-138.816
12.5;233.252;-139.033
12.4;233.407;-139.25
12.3;233.561;-139.467
12.2;233.715;-139.685
12.1;233.869;-139.903
12.0;234.023;-140.12
11.9;234.177;-140.339
11.8;234.331;-140.556
11.7;234.485;-140.775
11.6;234.638;-140.993
11.5;234.792;-141.212
11.4;234.945;-141.43
11.3;235.098;-141.649
11.2;235.251;-141.869
11.1;235.404;-142.088
11.0;235.557;-142.307
10.9;235.71;-142.527
10.8;235.863;-142.746
10.7;236.015;-142.966
10.6;236.168;-143.186
10.5;236.32;-143.406
10.4;236.472;-143.626
10.3;236.625;-143.847
