gamma;w;alpha_f
72.35938055;67.833484;-21.5070401
72.3593805;67.8308729;-21.5062946
72.35938;67.8220456;-21.5037747
72.3593;67.6783748;-21.4627895
72.359;67.4946149;-21.4104479
72.35;66.1507;-21.0304
72.3;63.6185;-20.3267
72.2;60.9663;-19.6065
72.1;59.1057;-19.1108
72.0;57.5906;-18.7128
71.9;56.2814;-18.3727
71.8;55.1119;-18.0718
71.7;54.0462;-17.7998
71.6;53.0604;-17.5501
71.5;52.139;-17.3183
71.4;51.2708;-17.1011
71.3;50.4465;-16.8961
71.2;49.6605;-16.7016
71.1;48.9076;-16.5162
71.0;48.1829;-16.3386
70.9;47.4842;-16.1681
70.8;46.8078;-16.0037
70.7;46.1515;-15.8447
70.6;45.5131;-15.6907
70.5;44.8911;-15.5411
70.4;44.2839;-15.3956
70.3;43.69;-15.2538
70.2;43.1086;-15.1153
70.1;42.5379;-14.9798
70.0;41.9777;-14.8472
69.9;41.4263;-14.7171
69.8;40.8838;-14.5894
69.7;40.349;-14.4639
69.6;39.8212;-14.3404
69.5;39.3;-14.2188
69.4;38.7842;-14.0987
69.3;38.2742;-13.9804
69.2;37.7689;-13.8635
69.1;37.2681;-13.7479
69.0;36.771;-13.6335
68.9;36.277;-13.5202
68.81;35.8355;-13.4192
68.8;35.7864;-13.408
68.7;35.2984;-13.2967
68.6;34.8128;-13.1863
68.5;34.3289;-13.0767
68.4;33.846;-12.9676
68.3;33.3646;-12.8593
68.2;32.8838;-12.7515
68.1;32.4035;-12.6441
68.0;31.9229;-12.5372
67.9;31.4418;-12.4305
67.8;30.9599;-12.3241
67.7;30.477;-12.218
67.6;29.9925;-12.112
67.5;29.5059;-12.006
67.4;29.0165;-11.8999
67.3;28.5244;-11.7939
67.2;28.0286;-11.6876
67.1;27.5293;-11.5812
67.0;27.0258;-11.4746
66.9;26.5165;-11.3674
66.8;26.0017;-11.2599
66.7;25.481;-11.1519
66.6;24.9529;-11.0433
66.5;24.4172;-10.934
66.4;23.8725;-10.8239
66.3;23.3177;-10.7128
66.2;22.7522;-10.6007
66.1;22.175;-10.4877
66.0;21.5836;-10.3732
65.9;20.9773;-10.2573
65.8;20.3539;-10.14
65.7;19.7119;-10.021
65.6;19.0471;-9.89986
65.5;18.3579;-9.77669
65.4;17.6399;-9.65111
65.3;16.8882;-9.5228
65.2;16.098;-9.39156
65.1;15.2612;-9.25689
65.0;14.3681;-9.11839
64.9;13.4056;-8.97552
64.8;12.3554;-8.82772
64.7;11.1868;-8.67387
64.6;9.85745;-8.51347
64.5;8.28122;-8.34512
64.4;6.25669;-8.16674
64.3;2.96888819;-7.97703475
64.28;1.61367114;-7.93740503
64.272;0.324605792;-7.92138249
64.2717;0.107278456;-7.9207797
64.27167;0.0460670922;-7.92071942
64.271664;0.015647748;-7.92070736
64.2716633;0.00508131731;-7.92070595
64.27166322;0.00088898839;-7.92070579
