gamma;w;alpha_c
4.5;0.82;-2.155
4.4;2.536;-2.667
4.3;3.491;-3.184
4.1;4.87;-4.238
4.0;5.429;-4.774
3.9;5.937;-5.316
3.8;6.404;-5.865
3.7;6.839;-6.419
3.6;7.249;-6.98
3.5;7.636;-7.548
3.4;8.005;-8.122
3.3;8.358;-8.702
3.2;8.697;-9.289
3.1;9.023;-9.883
3.0;9.337;-10.483
2.9;9.642;-11.089
2.8;9.937;-11.703
2.7;10.224;-12.323
2.6;10.502;-12.95
2.5;10.774;-13.583
2.4;11.039;-14.224
2.3;11.298;-14.871
2.2;11.551;-15.526
2.1;11.799;-16.187
2.0;12.042;-16.856
1.9;12.28;-17.531
1.8;12.514;-18.214
1.7;12.743;-18.904
1.6;12.968;-19.601
1.5;13.19;-20.305
1.4;13.408;-21.017
1.3;13.622;-21.736
1.2;13.833;-22.462
1.1;14.041;-23.196
1.0;14.246;-23.937
0.9;14.448;-24.686
0.8;14.648;-25.443
0.7;14.844;-26.207
0.6;15.039;-26.979
0.5;15.23;-27.759
0.4;15.42;-28.546
0.3;15.607;-29.342
0.2;15.792;-30.145
0.1;15.975;-30.956
0.0;16.156;-31.775
-0.1;16.335;-32.603
-0.2;16.512;-33.438
-0.3;16.687;-34.281
-0.4;16.86;-35.133
-0.5;17.032;-35.993
-0.6;17.202;-36.861
-0.7;17.37;-37.738
-0.8;17.537;-38.623
-0.9;17.702;-39.516
-1.0;17.865;-40.418
-1.1;18.028;-41.329
-1.2;18.188;-42.248
-1.3;18.348;-43.176
-1.4;18.506;-44.113
-1.5;18.663;-45.058
-1.6;18.818;-46.012
-1.7;18.972;-46.975
-1.8;19.125;-47.947
-1.9;19.277;-48.928
-2.0;19.428;-49.918
-2.1;19.577;-50.917
-2.2;19.726;-51.926
-2.3;19.873;-52.943
-2.4;20.019;-53.97
-2.5;20.165;-55.006
-2.6;20.309;-56.051
-2.7;20.452;-57.106
-2.8;20.594;-58.171
-2.9;20.736;-59.245
-3.0;20.876;-60.328
-3.1;21.015;-61.422
-3.2;21.154;-62.524
-3.3;21.292;-63.637
-3.4;21.429;-64.76
-3.5;21.564;-65.892
-3.6;21.7;-67.0346
-3.7;21.834;-68.187
-3.8;21.967;-69.35
-3.9;22.1;-70.522
-4.0;22.232;-71.705
-4.1;22.363;-72.898
