gamma;w;alpha_c
51.87288486;35.5632711;-14.2159937
51.8728848;35.5678622;-14.2172376
51.872884;35.5848678;-14.2218463
51.87288;35.6170112;-14.2305619
51.8728;35.7932229;-14.2784474
51.872;36.3061481;-14.4188478
51.87;36.897;-14.582
51.8;41.986;-16.072
51.7;45.218;-17.092
51.6;47.501;-17.846
51.5;49.355;-18.478
51.4;50.946;-19.036
51.30527536;52.2873061;-19.5173519
51.3;52.359;-19.543
51.2;53.64;-20.012
51.1;54.819;-20.452
51.0;55.915;-20.867
50.9;56.945;-21.264
50.8;57.917;-21.643
50.7;58.841;-22.009
50.6;59.722;-22.363
50.5;60.566;-22.705
50.4;61.378;-23.039
50.3;62.159;-23.364
50.2;62.915;-23.681
50.1;63.645;-23.991
50.0;64.355;-24.295
49.9;65.044;-24.594
49.8;65.715;-24.887
49.7;66.368;-25.175
49.6;67.005;-25.459
49.5;67.628;-25.739
49.4;68.237;-26.015
49.3;68.833;-26.287
49.2;69.417;-26.556
49.1;69.989;-26.822
49.0;70.551;-27.085
48.9;71.103;-27.345
48.8;71.644;-27.603
48.7;72.177;-27.858
48.6;72.701;-28.111
48.5;73.217;-28.362
48.4;73.725;-28.61
48.3;74.225;-28.857
48.2;74.719;-29.101
48.1;75.205;-29.345
48.0;75.685;-29.586
47.9;76.158;-29.825
47.8;76.625;-30.064
47.7;77.087;-30.3
47.6;77.543;-30.536
47.5;77.993;-30.77
47.4;78.439;-31.003
47.3;78.879;-31.234
47.2;79.315;-31.465
47.1;79.745;-31.694
47.0;80.171;-31.922
46.9;80.593;-32.149
46.8;81.011;-32.375
46.7;81.424;-32.601
46.6;81.834;-32.825
46.5;82.239;-33.049
46.4;82.641;-33.271
46.3;83.04;-33.493
46.2;83.434;-33.714
46.1;83.826;-33.935
46.0;84.213;-34.154
45.9;84.598;-34.373
45.8;84.979;-34.592
45.7;85.358;-34.809
45.6;85.733;-35.027
45.5;86.105;-35.243
45.4;86.475;-35.459
45.3;86.842;-35.674
45.2;87.206;-35.889
45.1;87.567;-36.103
45.0;87.926;-36.317
44.9;88.282;-36.531
44.8;88.635;-36.744
44.7;88.987;-36.956
44.6;89.336;-37.169
44.5;89.682;-37.38
44.4;90.027;-37.591
44.3;90.368;-37.802
44.2;90.709;-38.013
44.1;91.046;-38.223
44.0;91.382;-38.433
43.9;91.715;-38.643
43.8;92.047;-38.852
43.7;92.377;-39.061
43.6;92.704;-39.27
43.5;93.03;-39.478
43.4;93.354;-39.686
43.3;93.676;-39.894
43.2;93.996;-40.102
43.1;94.315;-40.309
43.0;94.631;-40.516
42.9;94.947;-40.723
42.8;95.26;-40.93
42.7;95.572;-41.137
42.6;95.882;-41.343
42.5;96.19;-41.549
42.4;96.497;-41.755
42.3;96.803;-41.961
42.2;97.107;-42.166
42.1;97.409;-42.372
42.0;97.71;-42.577
41.9;98.009;-42.782
41.8;98.307;-42.988
41.7;98.604;-43.192
41.6;98.9;-43.397
41.5;99.194;-43.602
41.4;99.486;-43.807
41.3;99.777;-44.011
41.2;100.07;-44.216
41.1;100.36;-44.42
41.0;100.64;-44.624
40.9;100.93;-44.828
40.8;101.21;-45.032
40.7;101.5;-45.236
40.6;101.78;-45.44
40.5;102.06;-45.644
40.4;102.34;-45.848
40.3;102.62;-46.052
40.2;102.9;-46.255
40.1;103.18;-46.459
40.0;103.45;-46.663
39.9;103.73;-46.866
39.8;104.0;-47.07
