gamma;w;alpha_c
394.9;374.107;-50.7263
394.8;378.711;-51.2952
394.7;382.559;-51.7744
394.6;385.928;-52.1969
394.5;388.967;-52.5801
394.4;391.76;-52.9342
394.3;394.356;-53.265
394.2;396.789;-53.5766
394.1;399.096;-53.8733
394.0;401.291;-54.1567
393.9;403.387;-54.4284
393.8;405.394;-54.6897
393.7;407.331;-54.9427
393.6;409.199;-55.1876
393.5;411.007;-55.4255
393.4;412.761;-55.6568
393.3;414.463;-55.8822
393.2;416.121;-56.1024
393.1;417.736;-56.3175
393.0;419.311;-56.5279
392.9;420.852;-56.7344
392.8;422.357;-56.9367
392.7;423.831;-57.1352
392.6;425.275;-57.3304
392.5;426.692;-57.5223
392.4;428.083;-57.7112
392.3;429.448;-57.897
392.2;430.79;-58.0802
392.1;432.11;-58.2608
392.0;433.408;-58.4389
391.9;434.687;-58.6147
391.8;435.946;-58.7883
391.7;437.187;-58.9597
391.6;438.41;-59.1291
391.5;439.617;-59.2965
391.4;440.808;-59.4621
391.3;441.983;-59.6259
391.2;443.143;-59.7879
391.1;444.289;-59.9484
391.0;445.422;-60.1072
390.9;446.54;-60.2645
390.8;447.647;-60.4203
390.7;448.741;-60.5747
390.6;449.823;-60.7278
390.5;450.894;-60.8795
390.4;451.953;-61.0299
390.3;453.002;-61.1791
390.2;454.04;-61.3271
390.1;455.068;-61.474
390.0;456.087;-61.6197
389.9;457.096;-61.7643
389.8;458.095;-61.9079
389.7;459.086;-62.0504
389.6;460.068;-62.1919
389.5;461.042;-62.3325
389.4;462.007;-62.4721
389.3;462.964;-62.6108
389.2;463.913;-62.7486
389.1;464.855;-62.8855
389.0;465.789;-63.0216
388.9;466.716;-63.1568
388.8;467.635;-63.2913
388.7;468.548;-63.4249
388.6;469.454;-63.5578
388.5;470.354;-63.69
388.4;471.247;-63.8214
388.3;472.133;-63.9521
388.2;473.014;-64.082
388.1;473.888;-64.2114
388.0;474.757;-64.34
387.9;475.62;-64.468
387.8;476.477;-64.5953
387.7;477.328;-64.722
387.6;478.174;-64.8481
387.5;479.015;-64.9736
387.4;479.85;-65.0986
387.3;480.681;-65.2229
387.2;481.506;-65.3467
387.1;482.326;-65.4699
387.0;483.142;-65.5926
386.9;483.953;-65.7147
386.8;484.759;-65.8363
386.7;485.142;-44181.3
386.6;486.357;-66.078
386.5;487.15;-66.1982
386.4;487.938;-66.3178
386.3;488.722;-66.4369
386.2;489.502;-66.5556
386.1;490.278;-66.6738
386.0;491.049;-66.7916
385.9;491.817;-66.909
385.8;492.581;-67.0258
385.7;493.341;-67.1423
385.6;494.097;-67.2584
385.5;494.849;-67.374
385.4;495.598;-67.4892
385.3;496.343;-67.604
385.2;497.084;-67.7185
385.1;497.822;-67.8325
385.0;498.556;-67.9461
384.9;499.287;-68.0594
384.8;500.015;-68.1723
384.7;500.739;-68.2849
384.6;501.46;-68.3971
384.5;502.178;-68.5089
384.4;502.893;-68.6204
384.3;503.604;-68.7315
384.2;504.313;-68.8423
384.1;505.018;-68.9528
384.0;505.72;-69.063
383.9;506.42;-69.1728
383.8;507.116;-69.2823
383.7;507.81;-69.3915
383.6;508.501;-69.5003
383.5;509.188;-69.6089
383.4;509.874;-69.7172
383.3;510.556;-69.8251
383.2;511.236;-69.9328
383.1;511.913;-70.0402
383.0;512.587;-70.1473
382.9;513.259;-70.2541
382.8;513.928;-70.3606
382.7;514.595;-70.4669
382.6;515.259;-70.5729
382.5;515.921;-70.6786
382.4;516.58;-70.7841
382.3;517.237;-70.8893
382.2;517.891;-70.9942
382.1;518.543;-71.0989
382.0;519.193;-71.2034
381.9;519.84;-71.3075
381.8;520.485;-71.4115
381.7;521.128;-71.5152
381.6;521.769;-71.6187
381.5;522.407;-71.7219
381.4;523.043;-71.8248
381.3;523.677;-71.9276
381.2;524.309;-72.0302
381.1;524.939;-72.1325
381.0;525.567;-72.2345
380.9;526.192;-72.3364
380.8;526.816;-72.4381
380.7;527.437;-72.5395
380.6;528.057;-72.6407
380.5;528.674;-72.7417
380.4;529.29;-72.8425
380.3;529.904;-72.9432
380.2;530.515;-73.0435
380.1;531.125;-73.1437
380.0;531.733;-73.2437
379.9;532.339;-73.3435
379.8;532.943;-73.4431
379.7;533.545;-73.5425
379.6;534.146;-73.6417
379.5;534.744;-73.7407
379.4;535.341;-73.8396
379.3;535.936;-73.9382
379.2;536.53;-74.0368
379.1;537.122;-74.135
379.0;537.712;-74.2331
378.9;538.3;-74.331
378.8;538.887;-74.4288
378.7;539.471;-74.5264
378.6;540.055;-74.6238
378.5;540.636;-74.721
378.4;541.216;-74.8181
378.3;541.795;-74.915
378.2;542.371;-75.0118
378.1;542.946;-75.1083
378.0;543.52;-75.2048
377.9;544.092;-75.301
377.8;544.662;-75.3971
377.7;545.232;-75.493
377.6;545.799;-75.5888
377.5;546.365;-75.6845
377.4;546.93;-75.7799
377.3;547.493;-75.8753
377.2;548.054;-75.9705
377.1;548.614;-76.0654
377.0;549.173;-76.1604
376.9;549.73;-76.2551
376.8;550.286;-76.3498
376.7;550.84;-76.4441
376.6;551.394;-76.5385
376.5;551.945;-76.6325
376.4;552.495;-76.7266
376.3;553.044;-76.8204
376.2;553.592;-76.9143
376.1;554.138;-77.0078
376.0;554.683;-77.1013
375.9;555.227;-77.1947
375.8;555.769;-77.2879
375.7;556.31;-77.381
375.6;556.85;-77.474
375.5;557.388;-77.5667
375.4;557.925;-77.6595
375.3;558.461;-77.752
375.2;558.996;-77.8446
375.1;559.529;-77.9367
375.0;560.061;-78.029
374.9;560.592;-78.1211
374.8;561.122;-78.213
374.7;561.65;-78.3049
374.6;562.178;-78.3965
374.5;562.704;-78.4881
374.4;563.229;-78.5797
374.3;563.753;-78.671
374.2;564.275;-78.7623
374.1;564.797;-78.8533
374.0;565.317;-78.9444
373.9;565.836;-79.0353
373.8;566.354;-79.126
373.7;566.872;-79.2169
373.6;567.387;-79.3073
