gamma;w;alpha_c
4.1;95.931;-91.797
4.0;96.084;-92.144
3.9;96.235;-92.492
3.8;96.386;-92.84
3.7;96.537;-93.189
3.6;96.688;-93.539
3.5;96.839;-93.889
3.4;96.989;-94.24
3.3;97.139;-94.591
3.2;97.289;-94.944
3.1;97.438;-95.296
3.0;97.588;-95.65
2.9;97.737;-96.004
2.8;97.886;-96.358
2.7;98.034;-96.713
2.6;98.183;-97.069
2.5;98.331;-97.426
2.4;98.479;-97.783
2.3;98.626;-98.141
2.2;98.774;-98.499
2.1;98.921;-98.858
2.0;99.068;-99.218
1.9;99.214;-99.578
1.8;99.361;-99.939
1.7;99.507;-100.3
1.6;99.653;-100.662
1.5;99.799;-101.025
1.4;99.944;-101.389
1.3;100.09;-101.753
1.2;100.235;-102.117
1.1;100.38;-102.483
1.0;100.525;-102.849
0.9;100.669;-103.215
0.8;100.813;-103.583
0.7;100.957;-103.951
0.6;101.101;-104.319
0.5;101.245;-104.688
0.4;101.388;-105.058
0.3;101.531;-105.429
0.2;101.674;-105.8
0.1;101.817;-106.172
0.0;101.96;-106.544
-0.1;102.102;-106.917
-0.2;102.244;-107.291
-0.3;102.386;-107.666
-0.4;102.528;-108.041
-0.5;102.669;-108.417
-0.6;102.81;-108.793
-0.7;102.952;-109.17
-0.8;103.093;-109.548
-0.9;103.233;-109.926
-1.0;103.374;-110.305
-1.1;103.514;-110.685
-1.2;103.654;-111.065
-1.3;103.794;-111.446
-1.4;103.934;-111.828
-1.5;104.073;-112.211
-1.6;104.213;-112.594
-1.7;104.352;-112.977
-1.8;104.491;-113.362
-1.9;104.63;-113.747
-2.0;104.768;-114.133
-2.1;104.906;-114.519
-2.2;105.045;-114.906
-2.3;105.183;-115.294
-2.4;105.321;-115.682
-2.5;105.458;-116.072
-2.6;105.596;-116.461
-2.7;105.733;-116.852
-2.8;105.87;-117.243
-2.9;106.007;-117.635
-3.0;106.144;-118.028
-3.1;106.28;-118.421
-3.2;106.416;-118.815
-3.3;106.553;-119.209
-3.4;106.689;-119.605
-3.5;106.824;-120.001
-3.6;106.96;-120.397
-3.7;107.096;-120.795
-3.8;107.231;-121.193
-3.9;107.366;-121.591
-4.0;107.501;-121.991
-4.1;107.636;-122.391
