gamma;w;alpha_c
7.629131375;13.218219;-14.905533
7.62913;13.225038;-14.914128
7.6291;13.250936;-14.94679
7.629;13.285;-14.99
7.5;15.338;-17.701
7.4;16.056;-18.719
7.3;16.634;-19.571
7.2;17.134;-20.335
7.1;17.583;-21.042
7.0;17.995;-21.71
6.9;18.379;-22.349
6.8;18.74;-22.966
6.7;19.082;-23.566
6.6;19.408;-24.152
6.5;19.721;-24.728
6.4;20.023;-25.295
6.3;20.314;-25.854
6.2;20.596;-26.408
6.1;20.869;-26.957
6.0;21.136;-27.501
5.9;21.395;-28.043
5.8;21.649;-28.582
5.7;21.897;-29.12
5.6;22.14;-29.655
5.5;22.377;-30.19
5.4;22.611;-30.724
5.3;22.84;-31.257
5.2;23.065;-31.791
5.1;23.287;-32.324
5.0;23.505;-32.858
4.9;23.72;-33.393
4.8;23.931;-33.928
4.7;24.14;-34.465
4.6;24.346;-35.002
4.5;24.549;-35.541
4.4;24.75;-36.081
4.3;24.948;-36.623
4.2;25.144;-37.166
4.1;25.338;-37.711
4.0;25.529;-38.258
3.9;25.719;-38.807
3.8;25.906;-39.358
3.7;26.092;-39.911
3.6;26.276;-40.467
3.5;26.458;-41.024
3.4;26.638;-41.584
3.3;26.817;-42.146
3.2;26.994;-42.711
3.1;27.169;-43.278
3.0;27.343;-43.848
2.9;27.516;-44.421
2.8;27.687;-44.996
2.7;27.857;-45.574
2.6;28.026;-46.154
2.5;28.193;-46.738
2.4;28.359;-47.324
2.3;28.523;-47.913
2.2;28.687;-48.505
2.1;28.849;-49.1
2.0;29.011;-49.699
1.9;29.171;-50.3
1.8;29.33;-50.904
1.7;29.488;-51.511
1.6;29.645;-52.122
1.5;29.801;-52.736
1.4;29.956;-53.353
1.3;30.11;-53.973
1.2;30.264;-54.596
1.1;30.416;-55.223
1.0;30.567;-55.853
0.9;30.718;-56.487
0.8;30.867;-57.124
0.7;31.016;-57.764
0.6;31.164;-58.408
0.5;31.311;-59.055
0.4;31.458;-59.706
0.3;31.603;-60.36
0.2;31.748;-61.018
0.1;31.892;-61.68
0.0;32.036;-62.352
-0.1;32.178;-63.013
-0.2;32.32;-63.686
-0.3;32.462;-64.362
-0.4;32.602;-65.041
-0.5;32.742;-65.725
-0.6;32.881;-66.412
-0.7;33.02;-67.103
-0.8;33.158;-67.797
-0.9;33.295;-68.496
-1.0;33.432;-69.198
-1.1;33.568;-69.904
-1.2;33.704;-70.614
-1.3;33.839;-71.328
-1.4;33.973;-72.046
-1.5;34.107;-72.768
-1.6;34.24;-73.494
-1.7;34.373;-74.223
-1.8;34.505;-74.957
-1.9;34.636;-75.695
-2.0;34.767;-76.437
-2.1;34.898;-77.182
-2.2;35.028;-77.932
-2.3;35.157;-78.686
-2.4;35.286;-79.444
-2.5;35.415;-80.207
-2.6;35.543;-80.973
-2.7;35.67;-81.744
-2.8;35.798;-82.518
-2.9;35.924;-83.297
-3.0;36.05;-84.081
-3.1;36.176;-84.868
-3.2;36.301;-85.66
-3.3;36.426;-86.456
-3.4;36.55;-87.256
-3.5;36.674;-88.061
-3.6;36.798;-88.87
-3.7;36.921;-89.684
-3.8;37.043;-90.501
-3.9;37.165;-91.324
-4.0;37.287;-92.15
-4.1;37.409;-92.982
