gamma;w;alpha_f
28.4070308705;30.9638314;-15.3082077
28.40703;30.953185;-15.3027475
28.407;30.9001595;-15.2755676
28.4;30.001;-14.818
28.3;27.176;-13.425
28.2;25.661;-12.703
28.1;24.463;-12.144
28.0;23.429;-11.669
28.0;23.429;-11.669
27.9;22.495;-11.247
27.8;21.631;-10.862
27.7;20.817;-10.504
27.6;20.038;-10.167
27.5;19.287;-9.8469
27.4;18.554;-9.5397
27.3;17.836;-9.2433
27.2;17.126;-8.9557
27.1;16.42;-8.6754
27.0;15.715;-8.4009
26.9;15.005;-8.1311
26.8;14.287;-7.8652
26.7;13.555;-7.6022
26.6;12.806;-7.3413
26.5;12.031;-7.0816
26.4;11.224;-6.8226
26.3;10.374;-6.5634
26.2;9.4657;-6.3034
26.1;8.4785;-6.0416
26.0;7.3774;-5.7773
25.9;6.0963;-5.5095
25.8;4.4787;-5.2372
25.7;1.7397;-4.9587
25.683;0.380354295;-4.91077
25.6822;0.093399349;-4.90850479
25.68215;0.0150465555;-4.90836318
25.682148668;0.000217563676;-4.90835941
