gamma;w;alpha_c
7.121;51.7301;-52.8818
7.1;51.7671;-52.9636
7.0;51.9424;-53.3536
6.9;52.1169;-53.7445
6.8;52.2909;-54.1366
6.7;52.4642;-54.5297
6.6;52.6369;-54.924
6.5;52.8091;-55.3193
6.4;52.9805;-55.7157
6.3;53.1514;-56.1133
6.2;53.3217;-56.5119
6.1;53.4913;-56.9115
6.0;53.6605;-57.3124
5.9;53.8289;-57.7143
5.8;53.9969;-58.1173
5.7;54.1643;-58.5216
5.6;54.3312;-58.927
5.5;54.4973;-59.3333
5.4;54.6631;-59.7409
5.3;54.8283;-60.1497
5.2;54.9929;-60.5595
5.1;55.157;-60.9704
5.0;55.3205;-61.3826
4.9;55.4836;-61.796
4.8;55.6462;-62.2105
4.7;55.8082;-62.6261
4.6;55.9697;-63.0429
4.5;56.1307;-63.4608
4.4;56.2912;-63.88
4.3;56.4513;-64.3004
4.2;56.6108;-64.7219
4.1;56.7699;-65.1446
4.0;56.9285;-65.5685
3.9;57.0865;-65.9935
3.8;57.2442;-66.4198
3.7;57.4014;-66.8474
3.6;57.5581;-67.276
3.5;57.7144;-67.706
3.4;57.8702;-68.1371
3.3;58.0256;-68.5695
3.2;58.1805;-69.0031
3.1;58.335;-69.4379
3.0;58.4891;-69.874
2.9;58.6427;-70.3113
2.8;58.7959;-70.7497
2.7;58.9487;-71.1896
2.6;59.1011;-71.6306
2.5;59.2531;-72.0729
2.4;59.4046;-72.5164
2.3;59.5557;-72.9611
2.2;59.7064;-73.4071
2.1;59.8568;-73.8545
2.0;60.0067;-74.3031
1.9;60.1562;-74.7529
1.8;60.3054;-75.204
1.7;60.4542;-75.6564
1.6;60.6026;-76.1101
1.5;60.7506;-76.5652
1.4;60.8982;-77.0215
1.3;61.0455;-77.479
1.2;61.1923;-77.9378
1.1;61.3388;-78.3979
1.0;61.485;-78.8595
0.9;61.6308;-79.3223
0.8;61.7762;-79.7863
0.7;61.9212;-80.2517
0.6;62.0659;-80.7184
0.5;62.2103;-81.1865
0.4;62.3543;-81.6559
0.3;62.498;-82.1266
0.2;62.6413;-82.5985
0.1;62.7843;-83.072
0.0;62.927;-83.547
-0.1;63.0693;-84.0228
-0.2;63.2112;-84.5002
-0.3;63.3529;-84.979
-0.4;63.4943;-85.4592
-0.5;63.6352;-85.9405
-0.6;63.7759;-86.4235
-0.7;63.9162;-86.9075
-0.8;64.0563;-87.3933
-0.9;64.196;-87.8801
-1.0;64.3355;-88.3686
-1.1;64.4745;-88.8581
-1.2;64.6133;-89.3492
-1.3;64.7518;-89.8417
-1.4;64.89;-90.3355
-1.5;65.0279;-90.8308
-1.6;65.1655;-91.3274
-1.7;65.3028;-91.8255
-1.8;65.4397;-92.3249
-1.9;65.5765;-92.8259
-2.0;65.7129;-93.3281
-2.1;65.849;-93.8318
-2.2;65.9849;-94.337
-2.3;66.1203;-94.8433
-2.4;66.2556;-95.3513
-2.5;66.3906;-95.8607
-2.6;66.5253;-96.3715
-2.7;66.6598;-96.8838
-2.8;66.7939;-97.3974
-2.9;66.9278;-97.9125
-3.0;67.0614;-98.4292
-3.1;67.1947;-98.9471
-3.2;67.3277;-99.4665
-3.3;67.4605;-99.9874
-3.4;67.5931;-100.51
-3.5;67.7254;-101.034
-3.6;67.8573;-101.559
-3.7;67.9891;-102.086
-3.8;68.1206;-102.614
-3.9;68.2518;-103.144
-4.0;68.3829;-103.675
-4.1;68.5136;-104.208
