gamma;w;alpha_c
4.895;0.537;-2.406
4.8;5.569;-5.247
4.773;6.144;-5.851
4.7;7.342;-7.276
4.6;8.539;-8.919
4.5;9.472;-10.348
4.4;10.25;-11.636
4.3;10.924;-12.826
4.2;11.524;-13.942
4.1;12.067;-15.002
4.0;12.566;-16.015
3.9;13.03;-16.993
3.8;13.463;-17.94
3.7;13.872;-18.862
3.6;14.259;-19.763
3.5;14.627;-20.646
3.4;14.979;-21.514
3.3;15.317;-22.369
3.2;15.642;-23.213
3.1;15.955;-24.047
3.0;16.258;-24.874
2.9;16.551;-25.693
2.8;16.836;-26.507
2.7;17.112;-27.316
2.6;17.381;-28.121
2.5;17.644;-28.922
2.4;17.9;-29.721
2.3;18.15;-30.518
2.2;18.395;-31.312
2.1;18.635;-32.106
2.0;18.869;-32.899
1.9;19.1;-33.692
1.8;19.326;-34.485
1.7;19.548;-35.278
1.6;19.766;-36.072
1.5;19.98;-36.867
1.4;20.191;-37.663
1.3;20.399;-38.46
1.2;20.604;-39.259
1.1;20.806;-40.061
1.0;21.004;-40.864
0.9;21.2;-41.669
0.8;21.394;-42.477
0.7;21.585;-43.288
0.6;21.773;-44.102
0.5;21.96;-44.918
0.4;22.144;-45.738
0.3;22.326;-46.561
0.2;22.506;-47.387
0.1;22.684;-48.216
0.0;22.859;-49.05
-0.1;23.034;-49.887
-0.2;23.206;-50.728
-0.3;23.377;-51.572
-0.4;23.546;-52.421
-0.5;23.713;-53.274
-0.6;23.879;-54.131
-0.7;24.043;-54.993
-0.8;24.206;-55.859
-0.9;24.367;-56.729
-1.0;24.527;-57.604
-1.1;24.685;-58.484
-1.2;24.843;-59.368
-1.3;24.998;-60.257
-1.4;25.153;-61.151
-1.5;25.307;-62.05
-1.6;25.459;-62.954
-1.7;25.61;-63.863
-1.8;25.76;-64.777
-1.9;25.909;-65.696
-2.0;26.057;-66.621
-2.1;26.204;-67.551
-2.2;26.349;-68.486
-2.3;26.494;-69.427
-2.4;26.638;-70.373
-2.5;26.781;-71.325
-2.6;26.923;-72.282
-2.7;27.064;-73.245
-2.8;27.204;-74.214
-2.9;27.343;-75.189
-3.0;27.481;-76.169
-3.1;27.619;-77.155
-3.2;27.756;-78.147
-3.3;27.891;-79.146
-3.4;28.027;-80.15
-3.5;28.161;-81.16
-3.6;28.294;-82.177
-3.7;28.427;-83.199
-3.8;28.559;-84.228
-3.9;28.691;-85.264
-4.0;28.821;-86.305
-4.1;28.951;-87.353
