gamma;w;alpha_c
-0.4;81.652;-96.661
-0.5;81.793;-97.083
-0.6;81.935;-97.507
-0.7;82.076;-97.931
-0.8;82.216;-98.357
-0.9;82.357;-98.783
-1.0;82.497;-99.211
-1.1;82.637;-99.639
-1.2;82.777;-100.07
-1.3;82.916;-100.5
-1.4;83.056;-100.93
-1.5;83.195;-101.36
-1.6;83.334;-101.79
-1.7;83.472;-102.23
-1.8;83.611;-102.66
-1.9;83.749;-103.1
-2.0;83.886;-103.54
-2.1;84.024;-103.97
-2.2;84.161;-104.41
-2.3;84.299;-104.85
-2.4;84.435;-105.29
-2.5;84.572;-105.73
-2.6;84.709;-106.18
-2.7;84.845;-106.62
-2.8;84.981;-107.06
-2.9;85.117;-107.51
-3.0;85.252;-107.96
-3.1;85.387;-108.4
-3.2;85.523;-108.85
-3.3;85.657;-109.3
-3.4;85.792;-109.75
-3.5;85.927;-110.2
-3.6;86.061;-110.65
-3.7;86.195;-111.11
-3.8;86.329;-111.56
-3.9;86.462;-112.02
-4.0;86.596;-112.47
-4.1;86.729;-112.93
