gamma;w;alpha_c
4.1;3.30223;-2.94042
4.0;3.89538;-3.32547
3.9;4.41055;-3.71774
3.8;4.87246;-4.11724
3.7;5.29513;-4.52409
3.6;5.68724;-4.93828
3.5;6.05476;-5.35992
3.4;6.40194;-5.78906
3.3;6.73188;-6.22573
3.2;7.04698;-6.66997
3.1;7.3492;-7.12188
3.0;7.64001;-7.5815
2.9;7.9207;-8.04889
2.8;8.19226;-8.52407
2.7;8.45562;-9.00718
2.6;8.71148;-9.49822
2.5;8.96049;-9.99725
2.4;9.20318;-10.5043
2.3;9.44007;-11.0195
2.2;9.67156;-11.5429
2.1;9.89803;-12.0745
2.0;10.1198;-12.6144
1.9;10.3372;-13.1627
1.8;10.5505;-13.7194
1.7;10.7598;-14.2845
1.6;10.9656;-14.8583
1.5;11.1678;-15.4406
1.4;11.3668;-16.0315
1.3;11.5626;-16.6312
1.2;11.7555;-17.2397
1.1;11.9456;-17.8571
1.0;12.133;-18.4833
0.9;12.3178;-19.1186
0.8;12.5001;-19.7629
0.7;12.6801;-20.4163
0.6;12.8578;-21.0789
0.5;13.0334;-21.7506
0.4;13.2068;-22.4317
0.3;13.3783;-23.1222
0.2;13.5478;-23.8222
0.1;13.7155;-24.5316
0.0;13.881;-25.251
-0.1;14.0454;-25.9792
-0.2;14.2078;-26.7175
-0.3;14.3686;-27.4657
-0.4;14.5279;-28.2236
-0.5;14.6856;-28.9915
-0.6;14.8418;-29.7694
-0.7;14.9966;-30.5572
-0.8;15.15;-31.3553
-0.9;15.302;-32.1635
-1.0;15.4528;-32.982
-1.1;15.6022;-33.8108
-1.2;15.7505;-34.65
-1.3;15.8975;-35.4997
-1.4;16.0433;-36.3599
-1.5;16.188;-37.2308
-1.6;16.3315;-38.1123
-1.7;16.474;-39.0047
-1.8;16.6154;-39.9078
-1.9;16.7558;-40.822
-2.0;16.8951;-41.747
-2.1;17.0335;-42.6831
-2.2;17.1709;-43.6304
-2.3;17.3074;-44.5889
-2.4;17.4429;-45.5587
-2.5;17.5775;-46.5399
-2.6;17.7112;-47.5325
-2.7;17.8441;-48.5366
-2.8;17.9761;-49.5524
-2.9;18.1073;-50.5798
-3.0;18.2377;-51.6189
-3.1;18.3672;-52.6699
-3.2;18.496;-53.7328
-3.3;18.6241;-54.8078
-3.4;18.7513;-55.8948
-3.5;18.8779;-56.9939
-3.6;19.0037;-58.1054
-3.7;19.1287;-59.229
-3.8;19.2531;-60.3651
-3.9;19.3768;-61.5138
-4.0;19.4999;-62.6749
-4.1;19.6222;-63.8488
