gamma;w;alpha_c
4.1;271.677;-166.64
4.0;271.822;-166.86
3.9;271.968;-167.08
3.8;272.113;-167.301
3.7;272.259;-167.521
3.6;272.404;-167.742
3.5;272.549;-167.963
3.4;272.694;-168.184
3.3;272.84;-168.405
3.2;272.985;-168.627
3.1;273.13;-168.848
3.0;273.274;-169.069
2.9;273.419;-169.291
2.8;273.564;-169.513
2.7;273.708;-169.735
2.6;273.853;-169.957
2.5;273.997;-170.18
2.4;274.142;-170.402
2.3;274.286;-170.624
2.2;274.43;-170.847
2.1;274.574;-171.07
2.0;274.718;-171.293
1.9;274.862;-171.516
1.8;275.006;-171.74
1.7;275.15;-171.963
1.6;275.294;-172.186
1.5;275.437;-172.41
1.4;275.581;-172.634
1.3;275.724;-172.858
1.2;275.868;-173.082
1.1;276.011;-173.307
1.0;276.154;-173.531
0.9;276.297;-173.756
0.8;276.44;-173.98
0.7;276.584;-174.205
0.6;276.727;-174.431
0.5;276.869;-174.656
0.4;277.012;-174.881
0.3;277.155;-175.106
0.2;277.298;-175.332
0.1;277.44;-175.558
0.0;277.583;-175.784
-0.1;277.725;-176.01
-0.2;277.867;-176.236
-0.3;278.01;-176.462
-0.4;278.152;-176.689
-0.5;278.294;-176.915
-0.6;278.436;-177.142
-0.7;278.578;-177.369
-0.8;278.719;-177.596
-0.9;278.862;-177.823
-1.0;279.003;-178.051
-1.1;279.145;-178.278
-1.2;279.286;-178.506
-1.3;279.428;-178.734
-1.4;279.569;-178.962
-1.5;279.711;-179.19
-1.6;279.852;-179.418
-1.7;279.993;-179.646
-1.8;280.134;-179.875
-1.9;280.275;-180.103
-2.0;280.416;-180.332
-2.1;280.557;-180.561
-2.2;280.698;-180.791
-2.3;280.839;-181.02
-2.4;280.979;-181.249
-2.5;281.12;-181.479
-2.6;281.261;-181.708
-2.7;281.401;-181.938
-2.8;281.542;-182.168
-2.9;281.682;-182.398
-3.0;281.822;-182.629
-3.1;281.962;-182.859
-3.2;282.102;-183.09
-3.3;282.242;-183.32
-3.4;282.382;-183.551
-3.5;282.522;-183.782
-3.6;282.662;-184.014
-3.7;282.802;-184.245
-3.8;282.941;-184.476
-3.9;283.081;-184.708
-4.0;283.221;-184.94
-4.1;283.36;-185.172
