gamma;w;alpha_c
25.32687294;24.111269;-12.2799731
25.3268729;24.1132868;-12.2810149
25.326872;24.1242962;-12.2866998
25.32687;24.1350824;-12.2922707
25.3268;24.2338933;-12.3433706
25.326;24.5363979;-12.500534
25.3;26.42;-13.504
25.2;29.001;-14.948
25.1;30.566;-15.865
25.0;31.789;-16.604
25.3;26.421;-13.504
25.2;29.001;-14.948
25.1;30.565;-15.864
25.0;31.789;-16.604
24.9;32.826;-17.246
24.8;33.74;-17.825
24.7;34.567;-18.36
24.6;35.328;-18.861
24.5;36.035;-19.335
24.4;36.7;-19.787
24.3;37.329;-20.222
24.2;37.927;-20.642
24.1;38.498;-21.049
24.0;39.047;-21.445
23.9;39.575;-21.831
23.8;40.084;-22.209
23.7;40.578;-22.579
23.6;41.056;-22.942
23.5;41.521;-23.299
23.4;41.974;-23.651
23.3;42.415;-23.998
23.2;42.846;-24.341
23.1;43.267;-24.679
23.0;43.679;-25.014
22.9;44.082;-25.345
22.8;44.478;-25.673
22.7;44.866;-25.998
22.6;45.247;-26.32
22.5;45.622;-26.64
22.4;45.99;-26.958
22.3;46.353;-27.274
22.2;46.709;-27.587
22.1;47.061;-27.899
22.0;47.407;-28.209
21.9;47.749;-28.518
21.8;48.086;-28.825
21.7;48.419;-29.131
21.6;48.747;-29.435
21.5;49.071;-29.739
21.4;49.392;-30.041
21.3;49.709;-30.342
21.2;50.022;-30.643
21.1;50.331;-30.942
21.0;50.638;-31.241
20.9;50.941;-31.539
20.8;51.241;-31.836
20.7;51.538;-32.132
20.6;51.832;-32.428
20.5;52.124;-32.724
20.4;52.412;-33.019
20.3;52.698;-33.313
20.2;52.982;-33.607
20.1;53.263;-33.901
20.0;53.541;-34.194
19.9;53.818;-34.487
19.8;54.091;-34.78
19.7;54.363;-35.072
19.6;54.633;-35.365
19.5;54.901;-35.657
19.4;55.166;-35.949
19.3;55.43;-36.24
19.2;55.691;-36.532
19.1;55.951;-36.824
19.0;56.209;-37.115
18.9;56.465;-37.407
18.8;56.72;-37.698
18.7;56.972;-37.989
18.6;57.223;-38.281
18.5;57.473;-38.572
18.4;57.72;-38.864
18.3;57.967;-39.155
18.2;58.211;-39.447
18.1;58.454;-39.739
18.0;58.696;-40.031
17.9;58.936;-40.323
17.8;59.175;-40.615
17.7;59.413;-40.907
17.6;59.649;-41.199
17.5;59.884;-41.492
17.4;60.117;-41.785
17.3;60.35;-42.078
17.2;60.581;-42.371
17.1;60.811;-42.664
17.0;61.039;-42.958
16.9;61.267;-43.252
16.8;61.493;-43.546
16.7;61.718;-43.841
16.6;61.942;-44.135
16.5;62.165;-44.43
16.4;62.387;-44.726
16.3;62.607;-45.021
16.2;62.827;-45.317
16.1;63.046;-45.613
16.0;63.263;-45.91
15.9;63.48;-46.207
15.8;63.696;-46.504
15.7;63.91;-46.802
15.6;64.124;-47.1
15.5;64.337;-47.398
15.4;64.549;-47.697
15.3;64.76;-47.996
15.2;64.97;-48.295
15.1;65.179;-48.595
15.0;65.387;-48.895
14.9;65.595;-49.196
14.8;65.801;-49.497
14.7;66.007;-49.798
14.6;66.212;-50.1
14.5;66.416;-50.402
14.4;66.62;-50.705
14.3;66.822;-51.008
14.2;67.024;-51.312
14.1;67.225;-51.616
14.0;67.425;-51.92
13.9;67.625;-52.225
13.8;67.823;-52.531
13.7;68.021;-52.837
13.6;68.219;-53.143
13.5;68.415;-53.45
13.4;68.611;-53.757
13.3;68.806;-54.065
13.2;69.001;-54.373
13.1;69.195;-54.682
13.0;69.388;-54.991
12.9;69.58;-55.301
12.8;69.772;-55.611
12.7;69.964;-55.922
12.6;70.154;-56.233
12.5;70.344;-56.545
12.4;70.533;-56.857
12.3;70.722;-57.17
12.2;70.91;-57.483
12.1;71.098;-57.797
12.0;71.284;-58.112
11.9;71.471;-58.426
11.8;71.656;-58.742
11.7;71.842;-59.058
11.6;72.026;-59.375
11.5;72.21;-59.692
11.4;72.394;-60.009
11.3;72.576;-60.328
11.2;72.759;-60.646
11.1;72.941;-60.966
11.0;73.122;-61.286
10.9;73.303;-61.606
10.8;73.483;-61.927
10.7;73.662;-62.249
10.6;73.842;-62.571
10.5;74.02;-62.894
10.4;74.198;-63.217
10.3;74.376;-63.541
10.2;74.553;-63.866
10.1;74.73;-64.191
10.0;74.906;-64.517
9.9;75.082;-64.843
9.8;75.257;-65.17
9.7;75.432;-65.497
9.6;75.606;-65.825
9.5;75.78;-66.154
9.4;75.953;-66.483
9.3;76.126;-66.813
9.2;76.298;-67.144
9.1;76.47;-67.475
