gamma;w;alpha_f
25.32687294;24.1091146;-12.2788609
25.3268729;24.1070966;-12.2778191
25.326872;24.096082;-12.2721338
25.32687;24.0852839;-12.2665617
25.3268;23.9860709;-12.2154302
25.326;23.6789593;-12.0578994
25.3;21.643;-11.042
25.2;18.416;-9.5397
25.1;16.093;-8.5469
25.0;13.948;-7.7062
24.9;11.746;-6.9291
24.8;9.2357;-6.1661
24.7;5.7847;-5.3694
24.65;2.57300496;-4.93491998
24.64;1.03436863;-4.84294007
24.639;0.714429842;-4.83362478
24.6382;0.249377873;-4.82615654
24.6381;0.0782440599;-4.82522199
24.63809;0.0226931104;-4.82512852
24.6380891;0.00321254363;-4.82512011
