gamma;w;alpha_c
8.286;13.6256;-15.0589
8.2;15.1388;-16.8837
8.1;15.9424;-17.9149
8.0;16.557;-18.7387
7.9;17.0786;-19.4644
7.8;17.5422;-20.131
7.7;17.965;-20.7581
7.6;18.3572;-21.3569
7.5;18.7254;-21.9344
7.4;19.0739;-22.4956
7.35;19.242;-22.7713
7.3;19.4062;-23.0441
7.2;19.7246;-23.5822
7.1;20.0309;-24.1122
7.0;20.3268;-24.6355
6.9;20.6133;-25.1534
6.8;20.8914;-25.6669
6.7;21.1621;-26.1769
6.6;21.4259;-26.684
6.5;21.6836;-27.189
6.4;21.9355;-27.6922
6.3;22.1821;-28.1941
6.2;22.4238;-28.6952
6.1;22.661;-29.1958
6.0;22.8939;-29.6961
5.9;23.1229;-30.1964
5.8;23.3481;-30.697
5.7;23.5698;-31.1981
5.6;23.7882;-31.6998
5.5;24.0035;-32.2024
5.4;24.2157;-32.706
5.3;24.4252;-33.2107
5.2;24.6319;-33.7167
5.1;24.8361;-34.2241
5.0;25.0378;-34.733
4.9;25.2371;-35.2435
4.8;25.4343;-35.7558
4.7;25.6292;-36.2698
4.6;25.8221;-36.7857
4.5;26.013;-37.3035
4.4;26.2019;-37.8234
4.3;26.389;-38.3454
4.2;26.5744;-38.8696
4.1;26.758;-39.396
4.0;26.9399;-39.9246
3.9;27.1203;-40.4556
3.8;27.299;-40.989
3.7;27.4763;-41.5249
3.6;27.6521;-42.0632
3.5;27.8265;-42.6041
3.4;27.9995;-43.1475
3.3;28.1712;-43.6936
3.2;28.3415;-44.2423
3.1;28.5106;-44.7937
3.0;28.6785;-45.3478
2.9;28.8452;-45.9048
2.8;29.0107;-46.4645
2.7;29.175;-47.027
2.6;29.3383;-47.5925
2.5;29.5004;-48.1608
2.4;29.6615;-48.7321
2.3;29.8216;-49.3063
2.2;29.9807;-49.8835
2.1;30.1387;-50.4638
2.0;30.2958;-51.0471
1.9;30.452;-51.6334
1.8;30.6072;-52.2229
1.7;30.7616;-52.8155
1.6;30.915;-53.4112
1.5;31.0676;-54.0101
1.4;31.2193;-54.6123
1.3;31.3702;-55.2176
1.2;31.5203;-55.8262
1.1;31.6696;-56.438
1.0;31.818;-57.0532
0.9;31.9658;-57.6716
0.8;32.1127;-58.2934
0.7;32.2589;-58.9186
0.6;32.4044;-59.5471
0.5;32.5492;-60.179
0.4;32.6933;-60.8144
0.3;32.8366;-61.4532
0.2;32.9793;-62.0954
0.1;33.1213;-62.7412
0.0;33.263;-63.393
-0.1;33.4034;-64.0431
-0.2;33.5435;-64.6994
-0.3;33.6829;-65.3593
-0.4;33.8218;-66.0227
-0.5;33.96;-66.6898
-0.6;34.0976;-67.3604
-0.7;34.2347;-68.0347
-0.8;34.3711;-68.7127
-0.9;34.507;-69.3943
-1.0;34.6423;-70.0796
-1.1;34.7771;-70.7686
-1.2;34.9113;-71.4614
-1.3;35.045;-72.1578
-1.4;35.1781;-72.8581
-1.5;35.3108;-73.5621
-1.6;35.4429;-74.27
-1.7;35.5744;-74.9817
-1.8;35.7055;-75.6971
-1.9;35.8361;-76.4165
-2.0;35.9662;-77.1397
-2.1;36.0958;-77.8668
-2.2;36.225;-78.5978
-2.3;36.3536;-79.3328
-2.4;36.4818;-80.0716
-2.5;36.6096;-80.8145
-2.6;36.7369;-81.5613
-2.7;36.8637;-82.3121
-2.8;36.9901;-83.0669
-2.9;37.1161;-83.8258
-3.0;37.2416;-84.5887
-3.1;37.3667;-85.3556
-3.2;37.4914;-86.1267
-3.3;37.6156;-86.9018
-3.4;37.7395;-87.681
-3.5;37.8629;-88.4644
-3.6;37.9859;-89.2519
-3.7;38.1085;-90.0436
-3.8;38.2308;-90.8395
-3.9;38.3526;-91.6396
-4.0;38.4741;-92.4438
-4.1;38.5952;-93.2524
