gamma;w;alpha_c
4.1;8.05091;-8.17951
4.0;8.62346;-9.05362
3.9;9.15165;-9.91526
3.8;9.64348;-10.7661
3.7;10.1049;-11.6076
3.6;10.5404;-12.4411
3.5;10.9536;-13.2678
3.4;11.3473;-14.0886
3.3;11.7236;-14.9045
3.2;12.0846;-15.7162
3.1;12.4319;-16.5244
3.0;12.7667;-17.33
2.9;13.0902;-18.1333
2.8;13.4034;-18.9349
2.7;13.7071;-19.7354
2.6;14.0022;-20.5352
2.5;14.2892;-21.3347
2.4;14.5687;-22.1342
2.3;14.8413;-22.9342
2.2;15.1074;-23.7349
2.1;15.3675;-24.5367
2.0;15.6219;-25.3398
1.9;15.8709;-26.1445
1.8;16.1149;-26.9511
1.7;16.3541;-27.7597
1.6;16.5889;-28.5707
1.5;16.8193;-29.3842
1.4;17.0458;-30.2003
1.3;17.2684;-31.0194
1.2;17.4873;-31.8415
1.1;17.7028;-32.6668
1.0;17.9149;-33.4955
0.9;18.1238;-34.3277
0.8;18.3297;-35.1637
0.7;18.5327;-36.0034
0.6;18.7329;-36.8471
0.5;18.9304;-37.6949
0.4;19.1254;-38.5469
0.3;19.3178;-39.4031
0.2;19.5079;-40.2639
0.1;19.6956;-41.1291
0.0;19.881;-41.999
-0.1;20.0646;-42.8737
-0.2;20.2459;-43.7532
-0.3;20.4252;-44.6376
-0.4;20.6026;-45.5271
-0.5;20.7782;-46.4217
-0.6;20.9519;-47.3215
-0.7;21.1239;-48.2266
-0.8;21.2941;-49.1371
-0.9;21.4627;-50.053
-1.0;21.6298;-50.9746
-1.1;21.7952;-51.9017
-1.2;21.9592;-52.8345
-1.3;22.1216;-53.7731
-1.4;22.2827;-54.7176
-1.5;22.4423;-55.6679
-1.6;22.6006;-56.6243
-1.7;22.7576;-57.5867
-1.8;22.9133;-58.5553
-1.9;23.0677;-59.53
-2.0;23.221;-60.5111
-2.1;23.373;-61.4984
-2.2;23.5239;-62.4922
-2.3;23.6736;-63.4924
-2.4;23.8222;-64.4991
-2.5;23.9698;-65.5124
-2.6;24.1162;-66.5324
-2.7;24.2617;-67.559
-2.8;24.4061;-68.5925
-2.9;24.5496;-69.6327
-3.0;24.692;-70.6799
-3.1;24.8335;-71.734
-3.2;24.9741;-72.7951
-3.3;25.1138;-73.8632
-3.4;25.2526;-74.9385
-3.5;25.3905;-76.0209
-3.6;25.5276;-77.1106
-3.7;25.6638;-78.2076
-3.8;25.7992;-79.3119
-3.9;25.9338;-80.4236
-4.0;26.0676;-81.5427
-4.1;26.2006;-82.6694
