gamma;w;alpha_c
16.463;0.209;-7.28
16.4;2.753;-7.435
16.3;4.419;-7.682
16.2;5.61;-7.93
16.1;6.59;-8.18
16.0;7.442;-8.431
15.9;8.206;-8.684
15.8;8.906;-8.938
15.7;9.554;-9.194
15.6;10.161;-9.451
15.5;10.734;-9.71
15.4;11.278;-9.97
15.3;11.797;-10.231
15.2;12.294;-10.495
15.1;12.772;-10.759
15.0;13.233;-11.026
14.9;13.678;-11.293
14.8;14.11;-11.563
14.7;14.529;-11.834
14.6;14.936;-12.106
14.5;15.332;-12.38
14.4;15.719;-12.655
14.3;16.096;-12.932
14.2;16.465;-13.211
14.1;16.826;-13.491
14.0;17.179;-13.773
13.9;17.525;-14.056
13.8;17.865;-14.341
13.7;18.198;-14.628
13.6;18.526;-14.916
13.5;18.848;-15.205
13.4;19.164;-15.497
13.3;19.475;-15.789
13.2;19.782;-16.084
13.1;20.084;-16.38
13.0;20.382;-16.678
12.9;20.675;-16.977
12.8;20.964;-17.278
12.7;21.25;-17.58
12.6;21.531;-17.885
12.5;21.81;-18.191
12.4;22.084;-18.498
12.3;22.356;-18.807
12.2;22.624;-19.118
12.1;22.889;-19.431
12.0;23.151;-19.745
11.9;23.41;-20.061
11.8;23.667;-20.378
11.7;23.921;-20.697
11.6;24.172;-21.018
11.5;24.42;-21.341
11.4;24.667;-21.665
11.3;24.91;-21.991
11.2;25.152;-22.319
11.1;25.391;-22.648
11.0;25.628;-22.979
10.9;25.863;-23.312
10.8;26.096;-23.647
10.7;26.327;-23.983
10.6;26.556;-24.321
10.5;26.783;-24.661
10.4;27.008;-25.003
10.3;27.231;-25.346
10.2;27.453;-25.691
10.1;27.673;-26.038
10.0;27.891;-26.387
9.9;28.107;-26.737
9.8;28.322;-27.089
9.7;28.536;-27.443
9.6;28.748;-27.799
9.5;28.958;-28.157
9.4;29.167;-28.516
9.3;29.374;-28.878
9.2;29.58;-29.241
9.1;29.785;-29.606
9.0;29.988;-29.972
8.9;30.19;-30.341
8.8;30.39;-30.711
8.7;30.59;-31.084
8.6;30.788;-31.458
8.5;30.984;-31.834
8.4;31.18;-32.211
8.3;31.375;-32.591
8.2;31.568;-32.973
8.1;31.76;-33.356
8.0;31.951;-33.741
7.9;32.141;-34.129
7.8;32.33;-34.518
7.7;32.518;-34.909
7.6;32.704;-35.302
7.5;32.89;-35.696
7.4;33.075;-36.093
7.3;33.259;-36.492
7.2;33.442;-36.893
7.1;33.623;-37.295
7.0;33.804;-37.7
6.9;33.984;-38.106
6.8;34.163;-38.514
6.7;34.341;-38.925
6.6;34.519;-39.337
6.5;34.695;-39.751
6.4;34.871;-40.168
6.3;35.045;-40.586
6.2;35.219;-41.006
6.1;35.392;-41.428
6.0;35.564;-41.852
5.9;35.736;-42.279
5.8;35.906;-42.707
5.7;36.076;-43.137
5.6;36.245;-43.569
5.5;36.414;-44.004
5.4;36.581;-44.44
5.3;36.748;-44.879
5.2;36.914;-45.319
5.1;37.08;-45.761
5.0;37.245;-46.206
4.9;37.409;-46.653
4.8;37.572;-47.101
4.7;37.735;-47.552
4.6;37.897;-48.005
4.5;38.058;-48.46
4.4;38.219;-48.917
4.3;38.379;-49.376
4.2;38.538;-49.837
4.1;38.697;-50.301
4.0;38.855;-50.766
3.9;39.013;-51.234
3.8;39.17;-51.703
3.7;39.326;-52.175
3.6;39.482;-52.649
3.5;39.637;-53.125
3.4;39.792;-53.604
3.3;39.946;-54.084
3.2;40.099;-54.567
3.1;40.252;-55.052
3.0;40.405;-55.539
2.9;40.556;-56.028
2.8;40.708;-56.519
2.7;40.858;-57.013
2.6;41.009;-57.509
2.5;41.158;-58.007
2.4;41.308;-58.507
2.3;41.456;-59.009
2.2;41.605;-59.514
2.1;41.752;-60.021
2.0;41.899;-60.53
1.9;42.046;-61.041
1.8;42.192;-61.555
1.7;42.338;-62.071
1.6;42.483;-62.589
1.5;42.628;-63.11
1.4;42.772;-63.632
1.3;42.916;-64.157
1.2;43.06;-64.685
1.1;43.203;-65.214
1.0;43.345;-65.746
0.9;43.487;-66.281
0.8;43.629;-66.817
0.7;43.77;-67.356
0.6;43.911;-67.897
0.5;44.051;-68.441
0.4;44.191;-68.987
0.3;44.331;-69.535
0.2;44.47;-70.086
0.1;44.608;-70.639
0.0;44.747;-71.194
-0.1;44.884;-71.752
-0.2;45.022;-72.312
-0.3;45.159;-72.875
-0.4;45.296;-73.44
-0.5;45.432;-74.007
-0.6;45.568;-74.577
-0.7;45.703;-75.149
-0.8;45.839;-75.724
-0.9;45.973;-76.301
-1.0;46.108;-76.88
-1.1;46.242;-77.462
-1.2;46.376;-78.046
-1.3;46.509;-78.633
-1.4;46.642;-79.222
-1.5;46.774;-79.814
-1.6;46.907;-80.408
-1.7;47.039;-81.005
-1.8;47.17;-81.605
-1.9;47.301;-82.206
-2.0;47.432;-82.81
-2.1;47.563;-83.417
-2.2;47.693;-84.027
-2.3;47.823;-84.638
-2.4;47.952;-85.253
-2.5;48.082;-85.87
-2.6;48.21;-86.489
-2.7;48.339;-87.111
-2.8;48.467;-87.736
-2.9;48.595;-88.363
-3.0;48.723;-88.992
-3.1;48.85;-89.625
-3.2;48.977;-90.26
-3.3;49.104;-90.897
-3.4;49.23;-91.537
-3.5;49.356;-92.18
-3.6;49.482;-92.825
-3.7;49.607;-93.473
-3.8;49.732;-94.124
-3.9;49.857;-94.777
-4.0;49.982;-95.433
-4.1;50.106;-96.091
