gamma;w;alpha_c
4.1;63.216;-70.128
4.0;63.373;-70.536
3.9;63.531;-70.946
3.8;63.687;-71.357
3.7;63.843;-71.769
3.6;63.999;-72.181
3.5;64.155;-72.595
3.4;64.31;-73.01
3.3;64.464;-73.426
3.2;64.619;-73.843
3.1;64.773;-74.261
3.0;64.926;-74.681
2.9;65.079;-75.101
2.8;65.232;-75.522
2.7;65.384;-75.944
2.6;65.536;-76.368
2.5;65.687;-76.792
2.4;65.838;-77.218
2.3;65.989;-77.645
2.2;66.14;-78.072
2.1;66.29;-78.501
2.0;66.439;-78.931
1.9;66.589;-79.362
1.8;66.738;-79.794
1.7;66.886;-80.227
1.6;67.034;-80.662
1.5;67.182;-81.097
1.4;67.33;-81.534
1.3;67.477;-81.972
1.2;67.624;-82.41
1.1;67.771;-82.85
1.0;67.917;-83.291
0.9;68.062;-83.733
0.8;68.208;-84.177
0.7;68.353;-84.621
0.6;68.498;-85.067
0.5;68.643;-85.513
0.4;68.787;-85.961
0.3;68.931;-86.41
0.2;69.074;-86.86
0.1;69.218;-87.311
0.0;69.361;-87.764
-0.1;69.503;-88.217
-0.2;69.646;-88.672
-0.3;69.788;-89.128
-0.4;69.929;-89.585
-0.5;70.071;-90.043
-0.6;70.212;-90.502
-0.7;70.353;-90.963
-0.8;70.493;-91.425
-0.9;70.634;-91.888
-1.0;70.773;-92.352
-1.1;70.913;-92.817
-1.2;71.053;-93.283
-1.3;71.192;-93.751
-1.4;71.33;-94.22
-1.5;71.469;-94.69
-1.6;71.607;-95.161
-1.7;71.745;-95.634
-1.8;71.883;-96.107
-1.9;72.02;-96.582
-2.0;72.158;-97.058
-2.1;72.294;-97.535
-2.2;72.431;-98.014
-2.3;72.567;-98.493
-2.4;72.704;-98.974
-2.5;72.839;-99.456
-2.6;72.975;-99.94
-2.7;73.11;-100.424
-2.8;73.245;-100.91
-2.9;73.38;-101.397
-3.0;73.515;-101.885
-3.1;73.649;-102.375
-3.2;73.783;-102.865
-3.3;73.917;-103.358
-3.4;74.05;-103.851
-3.5;74.184;-104.345
-3.6;74.317;-104.841
-3.7;74.449;-105.338
-3.8;74.582;-105.836
-3.9;74.714;-106.336
-4.0;74.846;-106.836
-4.1;74.978;-107.339
